prob_thr,strategy,model,base_sensitivity,best_q_thr,sensitivity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.05,Baseline,—,0.8932,—,0.8932,0.0,652,1439,78,3882,—,—
0.05,Simple,LR,0.8932,0.83,0.8014,9.94,585,1296,145,4025,0.8512,0.1321
0.05,CrossFit,LR,0.8932,0.83,0.8027,10.01,586,1295,144,4026,0.8514,0.132
0.05,Simple,MLP,0.8932,0.56,0.8014,40.03,585,863,145,4458,0.8106,0.153
0.05,CrossFit,MLP,0.8932,0.79,0.8068,26.89,589,1052,141,4269,0.933,0.0873
0.05,Simple,XGB,0.8932,0.88,0.8137,46.98,594,763,136,4558,0.9584,0.06
0.05,CrossFit,XGB,0.8932,0.87,0.8,51.08,584,704,146,4617,0.9584,0.0601
0.06,Baseline,—,0.8795,—,0.8795,0.0,642,1245,88,4076,—,—
0.06,Simple,LR,0.8795,0.82,0.8,8.03,584,1145,146,4176,0.852,0.1238
0.06,CrossFit,LR,0.8795,0.82,0.8014,7.87,585,1147,145,4174,0.8519,0.1238
0.06,Simple,MLP,0.8795,0.77,0.8014,27.79,585,899,145,4422,0.9163,0.0947
0.06,CrossFit,MLP,0.8795,0.76,0.8041,17.67,587,1025,143,4296,0.9275,0.0849
0.06,Simple,XGB,0.8795,0.87,0.8041,41.93,587,723,143,4598,0.9529,0.0608
0.06,CrossFit,XGB,0.8795,0.87,0.8055,41.69,588,726,142,4595,0.9532,0.0606
0.07,Baseline,—,0.8616,—,0.8616,0.0,629,1092,101,4229,—,—
0.07,Simple,LR,0.8616,0.82,0.8014,5.77,585,1029,145,4292,0.8538,0.116
0.07,CrossFit,LR,0.8616,0.81,0.8,6.32,584,1023,146,4298,0.8538,0.1159
0.07,Simple,MLP,0.8616,0.79,0.8219,11.17,600,970,130,4351,0.9234,0.0822
0.07,CrossFit,MLP,0.8616,0.74,0.8096,13.28,591,947,139,4374,0.9261,0.0812
0.07,Simple,XGB,0.8616,0.87,0.8096,30.95,591,754,139,4567,0.9482,0.0601
0.07,CrossFit,XGB,0.8616,0.87,0.8096,29.85,591,766,139,4555,0.9484,0.06
0.08,Baseline,—,0.8466,—,0.8466,0.0,618,958,112,4363,—,—
0.08,Simple,LR,0.8466,0.82,0.8,4.18,584,918,146,4403,0.85,0.1102
0.08,CrossFit,LR,0.8466,0.83,0.8055,3.44,588,925,142,4396,0.8503,0.11
0.08,Simple,MLP,0.8466,0.78,0.8014,11.48,585,848,145,4473,0.9159,0.0848
0.08,CrossFit,MLP,0.8466,0.73,0.8068,12.42,589,839,141,4482,0.9179,0.0814
0.08,Simple,XGB,0.8466,0.86,0.8,24.22,584,726,146,4595,0.9415,0.0611
0.08,CrossFit,XGB,0.8466,0.86,0.8068,23.17,589,736,141,4585,0.942,0.0607
0.09,Baseline,—,0.8274,—,0.8274,0.0,604,849,126,4472,—,—
