prob_thr,strategy,model,base_sensitivity,best_q_thr,sensitivity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.0,Baseline,-,1.0,-,1.0,0.0,730,5321,0,0,-,-
0.0,Simple,LR,1.0,0.91,0.8027,87.03,586,690,144,4631,0.9091,0.0604
0.0,CrossFit,LR,1.0,0.91,0.8041,86.96,587,694,143,4627,0.9105,0.0603
0.0,Simple,MLP,1.0,0.75,0.8014,87.05,585,689,145,4632,0.9069,0.0659
0.0,CrossFit,MLP,1.0,0.84,0.8041,86.56,587,715,143,4606,0.9076,0.0604
0.0,Simple,XGB,1.0,0.87,0.8,87.05,584,689,146,4632,0.913,0.0596
0.0,CrossFit,XGB,1.0,0.87,0.8,87.22,584,680,146,4641,0.9134,0.0595
0.01,Baseline,-,0.9849,-,0.9849,0.0,719,3937,11,1384,-,-
0.01,Simple,LR,0.9849,0.92,0.8068,26.75,589,2884,141,2437,0.8554,0.1357
0.01,CrossFit,LR,0.9849,0.92,0.811,26.8,592,2882,138,2439,0.8563,0.1354
0.01,Simple,MLP,0.9849,0.56,0.811,50.57,592,1946,138,3375,0.8986,0.2023
0.01,CrossFit,MLP,0.9849,0.79,0.8082,47.35,590,2073,140,3248,0.9128,0.1078
0.01,Simple,XGB,0.9849,0.88,0.8096,80.77,591,757,139,4564,0.9619,0.0603
0.01,CrossFit,XGB,0.9849,0.87,0.8,82.35,584,695,146,4626,0.962,0.0601
0.02,Baseline,-,0.9726,-,0.9726,0.0,710,2897,20,2424,-,-
0.02,Simple,LR,0.9726,0.91,0.8055,18.67,588,2356,142,2965,0.8731,0.142
0.02,CrossFit,LR,0.9726,0.91,0.8068,18.78,589,2353,141,2968,0.8734,0.1417
0.02,Simple,MLP,0.9726,0.72,0.8041,57.13,587,1242,143,4079,0.9345,0.1126
0.02,CrossFit,MLP,0.9726,0.82,0.8027,39.01,586,1767,144,3554,0.9255,0.1095
0.02,Simple,XGB,0.9726,0.87,0.8,75.63,584,706,146,4615,0.9662,0.0608
0.02,CrossFit,XGB,0.9726,0.87,0.8014,75.56,585,708,145,4613,0.9663,0.0607
0.03,Baseline,-,0.9397,-,0.9397,0.0,686,2220,44,3101,-,-
0.03,Simple,LR,0.9397,0.92,0.8055,14.05,588,1908,142,3413,0.8824,0.1365
0.03,CrossFit,LR,0.9397,0.92,0.8068,14.01,589,1909,141,3412,0.8826,0.1363
0.03,Simple,MLP,0.9397,0.85,0.8,48.38,584,1146,146,4175,0.9231,0.1149
0.03,CrossFit,MLP,0.9397,0.75,0.811,36.04,592,1420,138,3901,0.9304,0.11
0.03,Simple,XGB,0.9397,0.87,0.8014,68.74,585,694,145,4627,0.9681,0.0599
0.03,CrossFit,XGB,0.9397,0.87,0.8055,68.42,588,701,142,4620,0.9679,0.0599
0.04,Baseline,-,0.9082,-,0.9082,0.0,663,1728,67,3593,-,-
0.04,Simple,LR,0.9082,0.93,0.8068,10.42,589,1548,141,3773,0.8933,0.1197
0.04,CrossFit,LR,0.9082,0.93,0.8068,10.59,589,1545,141,3776,0.893,0.1198
0.04,Simple,MLP,0.9082,0.79,0.811,27.66,592,1250,138,4071,0.9338,0.0901
