prob_thr,strategy,model,base_sensitivity,best_q_thr,sensitivity,FP_reduction_pct,TP,FP,FN,TN
0.05,Baseline,—,0.9,—,0.9,0.0,657,1529,73,3792
0.05,Simple,LR,0.9,0.84,0.8,5.36,584,1447,146,3874
0.05,CrossFit,LR,0.9,0.83,0.8068,4.84,589,1455,141,3866
0.05,Simple,MLP,0.9,0.78,0.8068,35.97,589,979,141,4342
0.05,CrossFit,MLP,0.9,0.78,0.8,33.88,584,1011,146,4310
0.05,Simple,XGB,0.9,0.86,0.8041,56.31,587,668,143,4653
0.05,CrossFit,XGB,0.9,0.86,0.8014,56.51,585,665,145,4656
0.06,Baseline,—,0.8822,—,0.8822,0.0,644,1299,86,4022
0.06,Simple,LR,0.8822,0.82,0.8096,4.16,591,1245,139,4076
0.06,CrossFit,LR,0.8822,0.8,0.8,4.31,584,1243,146,4078
0.06,Simple,MLP,0.8822,0.8,0.8096,30.79,591,899,139,4422
0.06,CrossFit,MLP,0.8822,0.76,0.8041,20.55,587,1032,143,4289
0.06,Simple,XGB,0.8822,0.86,0.8,47.34,584,684,146,4637
0.06,CrossFit,XGB,0.8822,0.86,0.8027,47.88,586,677,144,4644
0.07,Baseline,—,0.8699,—,0.8699,0.0,635,1147,95,4174
0.07,Simple,LR,0.8699,0.79,0.8068,3.57,589,1106,141,4215
0.07,CrossFit,LR,0.8699,0.79,0.8014,3.4,585,1108,145,4213
0.07,Simple,MLP,0.8699,0.78,0.8041,22.93,587,884,143,4437
0.07,CrossFit,MLP,0.8699,0.77,0.8027,20.84,586,908,144,4413
0.07,Simple,XGB,0.8699,0.86,0.8068,40.1,589,687,141,4634
0.07,CrossFit,XGB,0.8699,0.86,0.8068,40.37,589,684,141,4637
0.08,Baseline,—,0.8575,—,0.8575,0.0,626,1006,104,4315
0.08,Simple,LR,0.8575,0.79,0.8041,3.28,587,973,143,4348
0.08,CrossFit,LR,0.8575,0.79,0.8027,3.18,586,974,144,4347
0.08,Simple,MLP,0.8575,0.76,0.8096,18.09,591,824,139,4497
0.08,CrossFit,MLP,0.8575,0.77,0.8082,15.21,590,853,140,4468
0.08,Simple,XGB,0.8575,0.86,0.8068,31.21,589,692,141,4629
0.08,CrossFit,XGB,0.8575,0.86,0.8096,30.32,591,701,139,4620
0.09,Baseline,—,0.8466,—,0.8466,0.0,618,882,112,4439
0.09,Simple,LR,0.8466,0.79,0.8,3.17,584,854,146,4467
0.09,CrossFit,LR,0.8466,0.79,0.8068,2.72,589,858,141,4463
0.09,Simple,MLP,0.8466,0.77,0.8082,11.68,590,779,140,4542
0.09,CrossFit,MLP,0.8466,0.73,0.8041,14.4,587,755,143,4566
0.09,Simple,XGB,0.8466,0.86,0.8164,15.76,596,743,134,4578
0.09,CrossFit,XGB,0.8466,0.86,0.8178,14.74,597,752,133,4569
0.1,Baseline,—,0.8356,—,0.8356,0.0,610,810,120,4511
0.1,Simple,LR,0.8356,0.79,0.8027,2.72,586,788,144,4533
0.1,CrossFit,LR,0.8356,0.78,0.8027,2.59,586,789,144,4532
0.1,Simple,MLP,0.8356,0.72,0.8,14.94,584,689,146,4632
0.1,CrossFit,MLP,0.8356,0.74,0.8055,9.51,588,733,142,4588
0.1,Simple,XGB,0.8356,0.85,0.8096,14.44,591,693,139,4628
0.1,CrossFit,XGB,0.8356,0.85,0.8178,11.48,597,717,133,4604
0.11,Baseline,—,0.811,—,0.811,0.0,592,738,138,4583
0.11,Simple,LR,0.811,0.86,0.8,0.27,584,736,146,4585
0.11,CrossFit,LR,0.811,0.86,0.8027,0.41,586,735,144,4586
0.11,Simple,MLP,0.811,0.75,0.8014,3.66,585,711,145,4610
0.11,CrossFit,MLP,0.811,0.72,0.8041,2.44,587,720,143,4601
0.11,Simple,XGB,0.811,0.85,0.8096,4.34,591,706,139,4615
0.11,CrossFit,XGB,0.811,0.85,0.8082,4.07,590,708,140,4613
0.12,Baseline,—,0.7986,—,0.7986,0.0,583,675,147,4646
0.12,Simple,LR,0.7986,—,<0.80,—,—,—,—,—
0.12,CrossFit,LR,0.7986,—,<0.80,—,—,—,—,—
0.12,Simple,MLP,0.7986,—,<0.80,—,—,—,—,—
0.12,CrossFit,MLP,0.7986,—,<0.80,—,—,—,—,—
0.12,Simple,XGB,0.7986,—,<0.80,—,—,—,—,—
