feature,importance_gain
base_model_prob_icu24h,880.2882080078125
labvalues_carboxyhemoglobin_rate_change_m,47.11516189575195
biometrics_bmi_m,43.284393310546875
labvalues_red_blood_cells_std,41.9401741027832
labvalues_carboxyhemoglobin_mean_m,33.05995178222656
labvalues_urea_nitrogen_std,30.93592071533203
labvalues_absolute_eosinophil_count_first,30.654870986938477
labvalues_platelet_count_std,30.26007080078125
labvalues_white_blood_cells_min,26.129545211791992
labvalues_glucose_mean_m,25.09170150756836
labvalues_base_excess_mean_m,23.883100509643555
"labvalues_bilirubin,_total_min",23.448423385620117
labvalues_absolute_eosinophil_count_mean,22.763601303100586
labvalues_neutrophils_rate_change_m,20.978073120117188
labvalues_alanine_aminotransferase_(alt)_std,20.9058837890625
vitals_sbp_last,20.722890853881836
labvalues_urea_nitrogen_mean_m,20.48740005493164
labvalues_glucose_last,19.915464401245117
vitals_o2sat_min,19.77845573425293
labvalues_ptt_max,19.558685302734375
labvalues_bands_max,19.325275421142578
labvalues_glucose_std,18.565425872802734
labvalues_creatinine_std,18.267417907714844
labvalues_pco2_mean_m,17.687938690185547
labvalues_hemoglobin_std,17.48186492919922
labvalues_creatinine_first,17.312450408935547
labvalues_rdw_coeff,17.112987518310547
labvalues_base_excess_rate_change_m,16.406784057617188
labvalues_lymphocytes_rate_change_m,16.40387725830078
labvalues_white_blood_cells_last,16.37731170654297
labvalues_creatinine_min,16.291685104370117
labvalues_white_blood_cells_first,16.162052154541016
labvalues_alkaline_phosphatase_mean_m,16.038490295410156
labvalues_glucose_first,15.929008483886719
labvalues_white_blood_cells_max,15.895639419555664
"labvalues_fibrinogen,_functional_mean_m",15.85625171661377
labvalues_urea_nitrogen_max,15.695569038391113
labvalues_sodium_mean,15.579473495483398
labvalues_lactate_last,15.498574256896973
labvalues_glucose_max,15.377620697021484
labvalues_red_blood_cells_last,14.84473991394043
labvalues_glucose_min,14.676610946655273
vitals_sbp_min,14.671159744262695
labvalues_asparate_aminotransferase_(ast)_mean_m,14.592710494995117
labvalues_lactate_std,14.431824684143066
labvalues_potassium_coeff,14.323829650878906
labvalues_troponin_t_mean,14.227690696716309
vitals_o2sat_median,14.040509223937988
vitals_acuity,14.016572952270508
labvalues_white_blood_cells_rate_change,13.861364364624023
"labvalues_bilirubin,_direct_mean",13.778787612915039
"labvalues_bilirubin,_total_mean",13.315956115722656
vitals_o2sat_coeff,13.102174758911133
labvalues_potassium_rate_change,12.998466491699219
labvalues_rdw_min,12.980253219604492
labvalues_potassium_std,12.963290214538574
labvalues_lactate_mean,12.933733940124512
vitals_heartrate_last,12.875195503234863
labvalues_pco2_median,12.86912727355957
labvalues_hemoglobin_max,12.86369514465332
labvalues_oxygen_saturation_first,12.847516059875488
labvalues_oxygen_saturation_min,12.777161598205566
vitals_sbp_median,12.7567720413208
labvalues_lactate_mean_m,12.749646186828613
vitals_sbp_first,12.548001289367676
labvalues_c-reactive_protein_mean_m,12.283287048339844
labvalues_albumin_mean_m,12.254464149475098
labvalues_lymphocytes_first,12.238776206970215
vitals_resprate_coeff,12.100229263305664
labvalues_alanine_aminotransferase_(alt)_mean_m,12.093178749084473
labvalues_basophils_max,11.990639686584473
vitals_heartrate_min,11.905645370483398
vitals_temperature_rate_change,11.853291511535645
vitals_dbp_min,11.7462158203125
labvalues_lactate_first,11.728662490844727
labvalues_white_blood_cells_mean,11.616915702819824
vitals_o2sat_mean_m,11.447778701782227
labvalues_phosphate_mean,11.410126686096191
labvalues_white_blood_cells_std,11.372116088867188
labvalues_bicarbonate_min,11.168685913085938
