feature,importance_gain
entropy,2091.905517578125
prob_icu24h,200.72804260253906
labvalues_absolute_eosinophil_count_first,27.49500846862793
labvalues_absolute_basophil_count_rate_change_m,25.260967254638672
labvalues_bicarbonate_first,24.669601440429688
biometrics_bmi_m,21.077627182006836
labvalues_sodium_mean,19.40534019470215
vitals_sbp_last,18.511234283447266
spread,17.73710060119629
labvalues_absolute_lymphocyte_count_mean_m,17.287858963012695
labvalues_potassium_last,16.831872940063477
labvalues_creatinine_last,14.766426086425781
labvalues_white_blood_cells_max,14.711626052856445
labvalues_hematocrit_min,14.565004348754883
labvalues_base_excess_mean_m,14.188745498657227
variance,14.133638381958008
labvalues_creatinine_first,14.0676908493042
labvalues_pco2_last,13.99828815460205
vitals_temperature_rate_change,13.777093887329102
labvalues_c-reactive_protein_mean_m,13.533882141113281
demographics_ethnicity,13.50666332244873
"labvalues_fibrinogen,_functional_mean_m",13.4183931350708
labvalues_glucose_max,13.216979026794434
biometrics_height_m,13.126273155212402
labvalues_potassium_max,12.821189880371094
labvalues_base_excess_median,12.808181762695312
labvalues_urea_nitrogen_mean_m,12.568450927734375
labvalues_glucose_mean_m,12.178139686584473
vitals_acuity_m,12.113030433654785
vitals_o2sat_min,11.944228172302246
labvalues_pco2_min,11.88060188293457
labvalues_hematocrit_mean,11.857892036437988
labvalues_chloride_first,11.675328254699707
vitals_temperature_last,11.67067813873291
labvalues_glucose_min,11.62556266784668
labvalues_urea_nitrogen_first,11.579627990722656
labvalues_sodium_max,11.2207670211792
labvalues_hematocrit_mean_m,11.21224308013916
vitals_o2sat_max,11.131746292114258
labvalues_creatinine_max,11.101149559020996
labvalues_base_excess_rate_change_m,11.078486442565918
labvalues_hemoglobin_max,11.000774383544922
labvalues_hemoglobin_last,10.865047454833984
vitals_heartrate_coeff,10.792311668395996
labvalues_pt_min,10.770919799804688
labvalues_free_calcium_mean,10.715335845947266
labvalues_pco2_median,10.68358039855957
labvalues_hemoglobin_median,10.659788131713867
vitals_acuity,10.622719764709473
labvalues_lactate_mean_m,10.605961799621582
labvalues_lactate_last,10.603838920593262
labvalues_absolute_lymphocyte_count_rate_change,10.5439453125
biometrics_bmi,10.532952308654785
labvalues_neutrophils_mean,10.380419731140137
labvalues_red_blood_cells_last,10.360963821411133
vitals_heartrate_std,10.222147941589355
vitals_resprate_min,10.158758163452148
vitals_dbp_min,10.122498512268066
labvalues_troponin_t_mean,10.028238296508789
"labvalues_bilirubin,_total_mean",10.016905784606934
labvalues_sodium_last,9.804424285888672
labvalues_sodium_first,9.769061088562012
vitals_heartrate_last,9.765487670898438
labvalues_pt_mean,9.738590240478516
vitals_heartrate_min,9.72588062286377
labvalues_ptt_min,9.677033424377441
vitals_sbp_std,9.672539710998535
labvalues_lactate_max,9.577771186828613
labvalues_base_excess_mean,9.576837539672852
