feature,importance_gain
base_model_prob_icu24h,648.6082153320312
labvalues_lactate_last,50.878089904785156
labvalues_pt_first,38.68254852294922
labvalues_lactate_first,29.36915397644043
labvalues_glucose_last,29.061134338378906
labvalues_lymphocytes_mean,27.685577392578125
labvalues_creatinine_first,26.079469680786133
labvalues_neutrophils_first,26.01190757751465
labvalues_white_blood_cells_max,25.991117477416992
biometrics_weight,25.586904525756836
labvalues_base_excess_first,25.339895248413086
labvalues_eosinophils_max,24.710222244262695
labvalues_base_excess_mean,24.507274627685547
labvalues_lymphocytes_max,24.29721450805664
labvalues_albumin_mean,22.81081771850586
labvalues_pco2_first,22.71728515625
labvalues_inr(pt)_min,22.59037208557129
vitals_sbp_min,22.579524993896484
labvalues_lactate_median,21.472049713134766
labvalues_eosinophils_min,20.831815719604492
labvalues_eosinophils_mean,20.817325592041016
labvalues_pco2_median,20.788970947265625
labvalues_albumin_max,20.564950942993164
vitals_resprate_max,19.747499465942383
labvalues_white_blood_cells_mean,19.745086669921875
biometrics_bmi,19.5479679107666
labvalues_pco2_mean,19.44618034362793
labvalues_oxygen_saturation_max,18.2950439453125
labvalues_ptt_min,18.27408218383789
labvalues_lactate_min,18.17688751220703
labvalues_red_blood_cells_first,17.80692481994629
labvalues_hemoglobin_first,17.738122940063477
labvalues_pt_min,17.725379943847656
"labvalues_calcium,_total_min",17.65640640258789
labvalues_lactate_max,17.617231369018555
vitals_dbp_std,17.559707641601562
labvalues_absolute_basophil_count_min,17.34450912475586
labvalues_urea_nitrogen_first,17.3034610748291
labvalues_absolute_eosinophil_count_first,16.83818817138672
vitals_acuity,16.6136417388916
vitals_resprate_std,16.306968688964844
labvalues_eosinophils_last,16.224079132080078
labvalues_pco2_max,15.962748527526855
labvalues_rdw_min,15.726362228393555
labvalues_absolute_eosinophil_count_min,15.682327270507812
vitals_sbp_first,15.57559871673584
labvalues_base_excess_min,15.470205307006836
vitals_resprate_coeff,15.170289993286133
labvalues_bands_min,14.725212097167969
vitals_heartrate_std,14.223834991455078
labvalues_pco2_last,14.158522605895996
labvalues_hematocrit_last,14.103864669799805
labvalues_lactate_mean,14.05195426940918
"labvalues_calcium,_total_mean",13.728487968444824
vitals_temperature_min,13.665881156921387
labvalues_asparate_aminotransferase_(ast)_min,13.523442268371582
labvalues_eosinophils_first,13.498556137084961
labvalues_red_blood_cells_max,13.486003875732422
vitals_resprate_mean,13.420332908630371
labvalues_bicarbonate_last,13.38552188873291
vitals_sbp_mean,13.10522747039795
labvalues_ptt_first,13.074674606323242
labvalues_glucose_max,13.073199272155762
labvalues_absolute_eosinophil_count_max,12.587120056152344
labvalues_glucose_mean,12.557438850402832
vitals_sbp_median,12.384450912475586
labvalues_lymphocytes_min,12.181529998779297
"labvalues_calcium,_total_max",12.179891586303711
labvalues_ph_min,12.125249862670898
labvalues_ptt_mean,11.988570213317871
labvalues_absolute_eosinophil_count_mean,11.922677993774414
labvalues_base_excess_max,11.774564743041992
vitals_heartrate_median,11.771505355834961
labvalues_neutrophils_max,11.744645118713379
vitals_sbp_max,11.47020435333252
labvalues_basophils_max,11.431901931762695
labvalues_oxygen_saturation_first,11.428926467895508
vitals_o2sat_median,11.424644470214844
demographics_ethnicity_other,11.305570602416992
labvalues_ptt_last,11.2274808883667
labvalues_white_blood_cells_min,11.218576431274414
labvalues_asparate_aminotransferase_(ast)_first,11.202292442321777
vitals_o2sat_rate_change,11.173816680908203
labvalues_absolute_lymphocyte_count_min,11.0031156539917
labvalues_phosphate_mean,10.903698921203613
labvalues_chloride_last,10.860466003417969
"labvalues_calcium,_total_first",10.740859985351562
labvalues_urea_nitrogen_last,10.696993827819824
labvalues_red_blood_cells_last,10.614441871643066
"labvalues_bilirubin,_total_mean",10.591768264770508
labvalues_ptt_max,10.544590950012207
labvalues_sodium_min,10.533833503723145
labvalues_absolute_lymphocyte_count_first,10.38943099975586
demographics_age,10.159497261047363
vitals_sbp_std,10.13333511352539
labvalues_absolute_lymphocyte_count_max,9.909223556518555
labvalues_potassium_first,9.895171165466309
vitals_sbp_coeff,9.763859748840332
labvalues_basophils_mean,9.71483039855957
labvalues_hematocrit_max,9.669329643249512
labvalues_hemoglobin_std,9.638362884521484
labvalues_urea_nitrogen_mean,9.589113235473633
labvalues_hemoglobin_last,9.542386054992676
labvalues_chloride_min,9.536457061767578
vitals_sbp_last,9.506404876708984
labvalues_red_blood_cells_min,9.502669334411621
vitals_temperature_first,9.485522270202637
labvalues_bicarbonate_min,9.450119018554688
labvalues_alkaline_phosphatase_min,9.433185577392578
labvalues_troponin_t_mean,9.430131912231445
vitals_dbp_median,9.3656005859375
vitals_o2sat_std,9.310705184936523
labvalues_white_blood_cells_last,9.201567649841309
labvalues_rdw_max,9.136833190917969
"labvalues_fibrinogen,_functional_min",9.099724769592285
labvalues_sodium_mean,9.09305191040039
vitals_heartrate_mean,8.942864418029785
labvalues_hemoglobin_min,8.922048568725586
labvalues_bicarbonate_mean,8.902706146240234
labvalues_asparate_aminotransferase_(ast)_max,8.855961799621582
labvalues_potassium_min,8.796990394592285
vitals_o2sat_min,8.744833946228027
vitals_resprate_median,8.72619342803955
vitals_heartrate_coeff,8.716653823852539
vitals_heartrate_min,8.710245132446289
labvalues_glucose_min,8.685348510742188
vitals_heartrate_rate_change,8.302165031433105
vitals_heartrate_last,8.284296035766602
labvalues_alanine_aminotransferase_(alt)_min,8.267091751098633
labvalues_glucose_coeff,8.263742446899414
vitals_temperature_median,7.932374477386475
labvalues_platelet_count_mean,7.914186477661133
biometrics_height,7.853556156158447
labvalues_alanine_aminotransferase_(alt)_max,7.840212821960449
labvalues_creatinine_mean,7.752103805541992
labvalues_sodium_max,7.678905487060547
labvalues_neutrophils_mean,7.588386058807373
labvalues_pco2_min,7.546179294586182
labvalues_pt_mean,7.227902889251709
labvalues_inr(pt)_mean,7.173383712768555
vitals_sbp_rate_change,7.12644100189209
labvalues_asparate_aminotransferase_(ast)_mean,7.066832065582275
vitals_o2sat_max,6.809922695159912
vitals_dbp_rate_change,6.791123867034912
demographics_gender,6.689942836761475
demographics_ethnicity_asian,6.632614612579346
labvalues_hemoglobin_max,6.61466121673584
labvalues_rdw_mean,6.522127151489258
vitals_resprate_min,6.481652736663818
"labvalues_fibrinogen,_functional_mean",6.426634311676025
vitals_heartrate_max,6.2524309158325195
labvalues_red_blood_cells_mean,6.18983793258667
vitals_dbp_first,6.110741138458252
labvalues_urea_nitrogen_max,5.80622673034668
vitals_dbp_last,5.57670783996582
labvalues_phosphate_max,5.466950416564941
vitals_heartrate_first,5.441544532775879
labvalues_platelet_count_max,5.409937381744385
vitals_o2sat_coeff,5.336160182952881
vitals_o2sat_mean,5.334766387939453
vitals_temperature_last,5.329047203063965
vitals_dbp_coeff,5.315247058868408
"labvalues_creatine_kinase,_mb_isoenzyme_mean",5.098999977111816
labvalues_alkaline_phosphatase_mean,4.895106315612793
labvalues_potassium_max,4.702011585235596
labvalues_free_calcium_mean,4.697285175323486
vitals_temperature_std,4.6757988929748535
labvalues_hematocrit_mean,4.670591354370117
vitals_temperature_max,4.649367332458496
demographics_ethnicity_black/african,4.422216892242432
labvalues_alanine_aminotransferase_(alt)_mean,4.2589335441589355
labvalues_creatine_kinase_(ck)_mean,4.212654113769531
labvalues_magnesium_min,4.08660888671875
vitals_resprate_rate_change,4.073439598083496
labvalues_platelet_count_min,4.001237869262695
labvalues_chloride_mean,3.928196668624878
labvalues_potassium_mean,3.688328742980957
labvalues_hematocrit_min,3.387601375579834
labvalues_hemoglobin_mean,3.310015916824341
vitals_resprate_first,2.823608636856079
labvalues_creatinine_max,2.7824316024780273
vitals_dbp_min,2.6892802715301514
labvalues_glucose_first,2.605151653289795
vitals_resprate_last,2.5961055755615234
labvalues_neutrophils_min,2.556457281112671
labvalues_oxygen_saturation_min,2.445077419281006
labvalues_oxygen_saturation_last,2.2750918865203857
vitals_dbp_max,2.184241771697998
