feature,mean_abs_shap
prob_icu24h_platt,0.9276038
prob_icu24h_isotonic,0.909427
prob_icu24h,0.49320057
biometrics_bmi_m,0.042371463
labvalues_white_blood_cells_mean,0.016879734
labvalues_albumin_mean_m,0.015920203
vitals_sbp_last,0.013630591
labvalues_albumin_mean,0.012825037
biometrics_bmi,0.010100463
vitals_o2sat_coeff,0.01006748
vitals_dbp_rate_change,0.009466187
vitals_heartrate_last,0.009216909
vitals_dbp_coeff,0.008961036
labvalues_lactate_last,0.008493458
vitals_dbp_std,0.00767181
vitals_heartrate_min,0.007527771
labvalues_glucose_last,0.0074385046
vitals_resprate_coeff,0.0073966617
labvalues_alanine_aminotransferase_(alt)_mean_m,0.006397448
labvalues_rdw_mean,0.0062469314
labvalues_absolute_eosinophil_count_rate_change_m,0.005851479
demographics_age,0.005844524
labvalues_base_excess_mean_m,0.005633925
vitals_heartrate_rate_change,0.0054666614
labvalues_ptt_mean,0.00535007
labvalues_absolute_lymphocyte_count_rate_change_m,0.0052113417
labvalues_glucose_max,0.0048235008
labvalues_lymphocytes_mean,0.0044781025
labvalues_creatinine_last,0.0043473584
labvalues_ptt_max,0.004276958
vitals_heartrate_max,0.004227233
"labvalues_bilirubin,_total_min",0.004006402
labvalues_base_excess_max,0.00398524
labvalues_sodium_mean,0.0037478893
labvalues_glucose_std,0.003688227
labvalues_white_blood_cells_first,0.003582378
vitals_sbp_min,0.0035450018
vitals_acuity,0.003512572
demographics_ethnicity,0.0034747953
"labvalues_creatine_kinase,_mb_isoenzyme_mean",0.0032820904
labvalues_hemoglobin_std,0.0032480613
labvalues_bicarbonate_mean,0.0032200015
labvalues_troponin_t_mean,0.0031127399
labvalues_chloride_mean,0.0030513664
labvalues_creatinine_mean_m,0.0030474928
labvalues_urea_nitrogen_last,0.0030355738
labvalues_white_blood_cells_max,0.0030235008
vitals_o2sat_min,0.0030001292
labvalues_hematocrit_first,0.00294316
vitals_o2sat_median,0.0028889717
labvalues_hematocrit_last,0.0027892315
vitals_o2sat_last,0.0027856766
labvalues_glucose_min,0.0027301093
labvalues_eosinophils_rate_change_m,0.0026803222
labvalues_oxygen_saturation_first,0.0025469328
labvalues_lactate_mean_m,0.0025004665
labvalues_ph_mean_m,0.0024236178
labvalues_glucose_mean,0.0024045268
labvalues_neutrophils_min,0.0023814829
vitals_resprate_std,0.002288036
vitals_sbp_median,0.0022870705
labvalues_ptt_last,0.0022604517
vitals_sbp_std,0.002259669
labvalues_red_blood_cells_last,0.0022561946
labvalues_hemoglobin_max,0.0021835011
labvalues_magnesium_mean,0.0021640747
labvalues_creatinine_max,0.0021571505
labvalues_absolute_lymphocyte_count_mean_m,0.0020560655
vitals_sbp_mean,0.0019950983
vitals_dbp_first,0.0019895046
labvalues_inr(pt)_min,0.0019550954
labvalues_pt_min,0.0019443925
labvalues_hematocrit_mean,0.001920889
labvalues_carboxyhemoglobin_rate_change_m,0.0019106789
labvalues_sodium_last,0.0018816676
labvalues_ptt_min,0.0018375084
vitals_temperature_std,0.0018137142
vitals_sbp_coeff,0.0018113352
labvalues_absolute_basophil_count_rate_change_m,0.0017758802
labvalues_urea_nitrogen_mean,0.0017001922
vitals_heartrate_coeff,0.0016710393
labvalues_urea_nitrogen_std,0.0016630108
labvalues_carboxyhemoglobin_mean_m,0.0016581686
labvalues_potassium_min,0.0016154792
vitals_dbp_min,0.0016109138
labvalues_absolute_eosinophil_count_first,0.0015888163
labvalues_platelet_count_std,0.0015844326
labvalues_urea_nitrogen_max,0.001581441
labvalues_alanine_aminotransferase_(alt)_mean,0.0015730283
vitals_heartrate_std,0.0015553271
vitals_heartrate_first,0.0015177692
labvalues_alkaline_phosphatase_mean_m,0.0015146129
"labvalues_calcium,_total_mean",0.0015083805
vitals_sbp_first,0.0015014857
labvalues_neutrophils_first,0.0014967707
labvalues_pco2_median,0.0014703451
labvalues_absolute_eosinophil_count_mean,0.0014325802
labvalues_red_blood_cells_mean,0.0013989187
labvalues_eosinophils_mean,0.0013853316
vitals_heartrate_mean,0.0013300583
vitals_heartrate_median,0.0013251253
labvalues_pco2_mean,0.0013205892
labvalues_red_blood_cells_max,0.001313542
labvalues_lymphocytes_min,0.0013053231
labvalues_pco2_mean_m,0.0012236725
labvalues_urea_nitrogen_mean_m,0.0012132376
biometrics_height,0.0012075092
labvalues_pt_last,0.0011855622
labvalues_absolute_lymphocyte_count_last,0.0011652196
vitals_acuity_m,0.0011168612
vitals_o2sat_mean,0.0010934003
vitals_resprate_mean,0.0010895542
labvalues_lactate_min,0.0010700165
