prob_thr,strategy,model,base_sensitivity,best_q_thr,sensitivity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.05,Baseline,-,0.9,-,0.9,0.0,657,1529,73,3792,-,-
0.05,Simple,LR,0.9,0.82,0.8,5.23,584,1449,146,3872,0.8402,0.1463
0.05,CrossFit,LR,0.9,0.82,0.8055,4.97,588,1453,142,3868,0.8419,0.1452
0.05,Simple,MLP,0.9,0.83,0.8151,23.94,595,1163,135,4158,0.9417,0.0834
0.05,CrossFit,MLP,0.9,0.8,0.8014,29.17,585,1083,145,4238,0.9446,0.0785
0.05,Simple,XGB,0.9,0.86,0.8014,56.7,585,662,145,4659,0.9634,0.0584
0.05,CrossFit,XGB,0.9,0.86,0.8041,56.38,587,667,143,4654,0.9636,0.0583
0.06,Baseline,-,0.8822,-,0.8822,0.0,644,1299,86,4022,-,-
0.06,Simple,LR,0.8822,0.79,0.8014,4.31,585,1243,145,4078,0.8397,0.136
0.06,CrossFit,LR,0.8822,0.82,0.8068,4.77,589,1237,141,4084,0.8419,0.1351
0.06,Simple,MLP,0.8822,0.78,0.8041,26.25,587,958,143,4363,0.9409,0.0766
0.06,CrossFit,MLP,0.8822,0.79,0.8055,24.1,588,986,142,4335,0.9399,0.0758
0.06,Simple,XGB,0.8822,0.87,0.811,42.57,592,746,138,4575,0.9578,0.0585
0.06,CrossFit,XGB,0.8822,0.86,0.8041,47.81,587,678,143,4643,0.9581,0.0584
0.07,Baseline,-,0.8699,-,0.8699,0.0,635,1147,95,4174,-,-
0.07,Simple,LR,0.8699,0.8,0.8027,3.84,586,1103,144,4218,0.8443,0.1272
0.07,CrossFit,LR,0.8699,0.8,0.8041,3.84,587,1103,143,4218,0.8458,0.1264
0.07,Simple,MLP,0.8699,0.8,0.8082,20.31,590,914,140,4407,0.9297,0.0814
0.07,CrossFit,MLP,0.8699,0.77,0.8123,18.48,593,935,137,4386,0.9347,0.0765
0.07,Simple,XGB,0.8699,0.86,0.8082,40.37,590,684,140,4637,0.953,0.0584
0.07,CrossFit,XGB,0.8699,0.86,0.8082,40.54,590,682,140,4639,0.953,0.0583
0.08,Baseline,-,0.8575,-,0.8575,0.0,626,1006,104,4315,-,-
0.08,Simple,LR,0.8575,0.8,0.8055,3.48,588,971,142,4350,0.8466,0.1184
