prob_thr,strategy,model,base_sensitivity,best_q_thr,sensitivity,FP_reduction_pct,TP,FP,FN,TN
0.05,Baseline,—,0.9027,—,0.9027,0.0,659,1640,71,3681
0.05,Simple,LR,0.9027,0.82,0.8041,4.7,587,1563,143,3758
0.05,CrossFit,LR,0.9027,0.81,0.8068,4.21,589,1571,141,3750
0.05,Simple,MLP,0.9027,0.82,0.8055,44.33,588,913,142,4408
0.05,CrossFit,MLP,0.9027,0.77,0.8055,24.21,588,1243,142,4078
0.05,Simple,XGB,0.9027,0.88,0.8068,52.68,589,776,141,4545
0.05,CrossFit,XGB,0.9027,0.88,0.8041,52.74,587,775,143,4546
0.06,Baseline,—,0.8877,—,0.8877,0.0,648,1460,82,3861
0.06,Simple,LR,0.8877,0.79,0.8,3.49,584,1409,146,3912
0.06,CrossFit,LR,0.8877,0.8,0.8027,4.25,586,1398,144,3923
0.06,Simple,MLP,0.8877,0.83,0.8137,37.05,594,919,136,4402
0.06,CrossFit,MLP,0.8877,0.8,0.8014,27.95,585,1052,145,4269
0.06,Simple,XGB,0.8877,0.88,0.8,46.85,584,776,146,4545
0.06,CrossFit,XGB,0.8877,0.88,0.8055,45.96,588,789,142,4532
0.07,Baseline,—,0.8781,—,0.8781,0.0,641,1303,89,4018
0.07,Simple,LR,0.8781,0.78,0.8041,3.76,587,1254,143,4067
0.07,CrossFit,LR,0.8781,0.8,0.8,4.22,584,1248,146,4073
0.07,Simple,MLP,0.8781,0.81,0.8014,39.37,585,790,145,4531
0.07,CrossFit,MLP,0.8781,0.77,0.8164,23.02,596,1003,134,4318
0.07,Simple,XGB,0.8781,0.88,0.8041,40.91,587,770,143,4551
0.07,CrossFit,XGB,0.8781,0.88,0.8068,38.83,589,797,141,4524
0.08,Baseline,—,0.8644,—,0.8644,0.0,631,1180,99,4141
0.08,Simple,LR,0.8644,0.8,0.8055,3.39,588,1140,142,4181
0.08,CrossFit,LR,0.8644,0.79,0.8082,2.88,590,1146,140,4175
