feature,importance
base_model_prob_mortality1d,1089.648193359375
labvalues_pco2_last,14.229510307312012
labvalues_ptt_max,14.100471496582031
labvalues_hemoglobin_last,13.364335060119629
labvalues_eosinophils_rate_change_m,12.528112411499023
labvalues_magnesium_max,12.413958549499512
labvalues_inr(pt)_mean_m,11.982211112976074
labvalues_chloride_mean_m,11.502391815185547
labvalues_white_blood_cells_max,11.127856254577637
labvalues_ptt_first,11.124860763549805
vitals_temperature_first,10.953314781188965
labvalues_hematocrit_last,10.930867195129395
labvalues_chloride_first,10.714327812194824
labvalues_hematocrit_rate_change,10.710253715515137
labvalues_white_blood_cells_first,10.66722583770752
vitals_resprate_median,10.24260139465332
"labvalues_bilirubin,_direct_mean",10.1463623046875
labvalues_phosphate_mean_m,10.124311447143555
biometrics_weight_m,10.053592681884766
labvalues_troponin_t_max,9.651028633117676
labvalues_absolute_basophil_count_mean,9.53363037109375
labvalues_urea_nitrogen_mean_m,9.301952362060547
labvalues_free_calcium_mean,9.248199462890625
labvalues_creatinine_last,9.243327140808105
labvalues_sodium_max,9.230413436889648
labvalues_lactate_max,9.106690406799316
labvalues_base_excess_rate_change_m,8.854392051696777
labvalues_glucose_mean_m,8.719711303710938
vitals_temperature_mean,8.682317733764648
vitals_o2sat_last,8.648107528686523
labvalues_potassium_last,8.596636772155762
vitals_sbp_last,8.577146530151367
labvalues_potassium_mean_m,8.310391426086426
labvalues_hemoglobin_mean_m,8.301031112670898
vitals_resprate_rate_change,8.293753623962402
labvalues_red_blood_cells_rate_change,8.27888011932373
vitals_o2sat_median,8.219950675964355
labvalues_red_blood_cells_last,8.134748458862305
vitals_acuity_m,8.087029457092285
labvalues_bicarbonate_max,8.080833435058594
"labvalues_creatine_kinase,_mb_isoenzyme_mean_m",7.944748401641846
demographics_ethnicity,7.852006435394287
vitals_o2sat_rate_change,7.8323869705200195
vitals_dbp_coeff,7.730494499206543
labvalues_oxygen_saturation_min,7.730076313018799
labvalues_neutrophils_first,7.720367431640625
vitals_sbp_std,7.648690700531006
vitals_o2sat_first,7.645273685455322
labvalues_creatinine_median,7.585407733917236
vitals_o2sat_min,7.58513879776001
labvalues_hemoglobin_max,7.5720391273498535
labvalues_ptt_min,7.5443291664123535
vitals_sbp_max,7.537442684173584
demographics_age,7.534801483154297
labvalues_inr(pt)_last,7.484127521514893
labvalues_lactate_mean_m,7.4100775718688965
labvalues_absolute_eosinophil_count_min,7.402437210083008
labvalues_ptt_mean_m,7.346640110015869
vitals_heartrate_std,7.3396759033203125
labvalues_red_blood_cells_max,7.294778347015381
vitals_dbp_mean,7.188891887664795
vitals_sbp_mean,7.180566787719727
vitals_heartrate_rate_change,7.12811279296875
labvalues_basophils_rate_change_m,7.127417087554932
labvalues_phosphate_max,7.102764129638672
labvalues_oxygen_saturation_last,7.077445983886719
labvalues_troponin_t_rate_change_m,7.0678558349609375
labvalues_basophils_last,7.057325839996338
vitals_heartrate_max,7.0453338623046875
vitals_dbp_rate_change,7.008543968200684
labvalues_white_blood_cells_min,7.008194446563721
labvalues_platelet_count_min,6.959912300109863
labvalues_base_excess_min,6.949052810668945
labvalues_pt_mean,6.939752578735352
labvalues_rdw_max,6.898011207580566
labvalues_potassium_max,6.813586235046387
vitals_heartrate_min,6.724969387054443
labvalues_absolute_basophil_count_min,6.709991455078125
labvalues_pt_min,6.706718444824219
labvalues_rdw_mean,6.682608604431152
labvalues_bands_max,6.679572105407715
labvalues_glucose_max,6.628875732421875
labvalues_hematocrit_max,6.586378574371338
labvalues_absolute_lymphocyte_count_min,6.570355415344238
labvalues_ptt_mean,6.509552478790283
vitals_heartrate_mean,6.420964241027832
labvalues_ph_mean,6.399862289428711
vitals_resprate_last,6.3441290855407715
vitals_dbp_last,6.330167770385742
vitals_dbp_max,6.327961444854736
labvalues_glucose_first,6.31870698928833
vitals_dbp_min,6.280433177947998
labvalues_base_excess_rate_change,6.270038604736328
labvalues_phosphate_mean,6.229075908660889
labvalues_sodium_min,6.22849178314209
labvalues_basophils_max,6.206473350524902
vitals_temperature_min,6.193421840667725
vitals_dbp_median,6.185451507568359
demographics_gender,6.176236629486084
biometrics_weight,6.158646583557129
labvalues_pco2_mean,6.1280364990234375
vitals_dbp_std,6.11835241317749
labvalues_oxygen_saturation_mean_m,6.08985710144043
labvalues_creatinine_mean,6.05778694152832
labvalues_troponin_t_last,6.051882743835449
labvalues_creatinine_min,6.043298721313477
labvalues_potassium_mean,6.000744342803955
labvalues_chloride_min,5.966808319091797
labvalues_asparate_aminotransferase_(ast)_mean,5.966114521026611
vitals_o2sat_coeff,5.935216426849365
"labvalues_fibrinogen,_functional_mean",5.933407783508301
"labvalues_calcium,_total_min",5.929008483886719
labvalues_troponin_t_mean,5.907601833343506
labvalues_free_calcium_min,5.894201278686523
vitals_o2sat_mean_m,5.879538536071777
