feature,importance_gain
prob_mortality365d_platt,1869.3482666015625
prob_mortality365d,363.1585388183594
prob_mortality365d_isotonic,63.326080322265625
labvalues_chloride_mean_m,51.6357421875
labvalues_potassium_mean_m,44.355613708496094
labvalues_alkaline_phosphatase_min,33.91223907470703
labvalues_creatinine_mean_m,33.33056640625
labvalues_albumin_mean_m,32.38555145263672
labvalues_alanine_aminotransferase_(alt)_mean_m,27.77351951599121
labvalues_alkaline_phosphatase_mean_m,27.24505615234375
labvalues_lactate_mean,27.07636833190918
labvalues_bicarbonate_min,23.977188110351562
labvalues_inr(pt)_mean_m,23.4508056640625
labvalues_sodium_mean_m,23.36767578125
demographics_age,22.961715698242188
labvalues_magnesium_mean_m,21.66863441467285
labvalues_hemoglobin_max,21.256301879882812
labvalues_hematocrit_mean,21.054426193237305
labvalues_lactate_first,20.571182250976562
vitals_sbp_median,20.117963790893555
labvalues_alanine_aminotransferase_(alt)_min,19.93121337890625
labvalues_hemoglobin_min,19.581157684326172
biometrics_weight_m,19.477985382080078
labvalues_creatine_kinase_(ck)_max,19.3729248046875
labvalues_hematocrit_max,18.910688400268555
labvalues_hemoglobin_median,18.889543533325195
labvalues_basophils_mean,18.603429794311523
labvalues_rdw_max,18.565258026123047
labvalues_platelet_count_mean_m,18.475391387939453
labvalues_white_blood_cells_mean,18.138011932373047
labvalues_hematocrit_mean_m,17.88567543029785
labvalues_rdw_min,17.802370071411133
labvalues_albumin_last,17.69029426574707
"labvalues_calcium,_total_max",17.621360778808594
labvalues_creatinine_last,17.355602264404297
vitals_resprate_mean_m,17.34041976928711
labvalues_rdw_mean_m,17.299095153808594
labvalues_creatine_kinase_(ck)_min,17.076740264892578
labvalues_albumin_mean,17.037111282348633
labvalues_lymphocytes_max,16.957754135131836
labvalues_glucose_first,16.86067771911621
labvalues_eosinophils_last,16.642866134643555
labvalues_rdw_mean,16.273134231567383
"labvalues_bilirubin,_total_rate_change_m",16.2676944732666
"labvalues_bilirubin,_total_mean_m",16.05399513244629
labvalues_lymphocytes_first,16.019760131835938
labvalues_basophils_rate_change_m,15.696228981018066
labvalues_troponin_t_mean,15.668197631835938
vitals_sbp_mean_m,15.55501651763916
labvalues_c-reactive_protein_mean_m,15.394112586975098
biometrics_bmi,15.377141952514648
biometrics_bmi_m,15.342523574829102
labvalues_white_blood_cells_max,15.317188262939453
labvalues_white_blood_cells_min,15.185015678405762
labvalues_platelet_count_min,15.148048400878906
labvalues_glucose_min,15.143438339233398
labvalues_lactate_last,15.038823127746582
labvalues_creatinine_rate_change,14.695387840270996
labvalues_hemoglobin_first,14.474661827087402
vitals_heartrate_mean_m,14.11968994140625
