feature,importance_gain
entropy,3806.124755859375
prob_mortality365d,300.30780029296875
prob_mortality365d_isotonic,88.815673828125
labvalues_platelet_count_last,34.599151611328125
labvalues_creatinine_max,26.761945724487305
labvalues_red_blood_cells_min,23.854581832885742
labvalues_chloride_min,23.570571899414062
labvalues_rdw_last,21.830467224121094
labvalues_hemoglobin_min,20.549386978149414
labvalues_albumin_max,19.952743530273438
labvalues_pco2_max,19.666772842407227
labvalues_platelet_count_max,19.58306121826172
demographics_age,18.92511558532715
labvalues_bicarbonate_min,18.86117935180664
biometrics_weight_m,18.4947452545166
variance,18.195537567138672
labvalues_troponin_t_max,18.085649490356445
labvalues_carboxyhemoglobin_max,17.573814392089844
vitals_resprate_rate_change,16.635757446289062
labvalues_glucose_std,16.05398178100586
spread,15.937666893005371
labvalues_red_blood_cells_first,15.72923755645752
labvalues_lactate_last,15.601325035095215
labvalues_hematocrit_first,15.548808097839355
vitals_o2sat_first,15.427392959594727
labvalues_alkaline_phosphatase_max,15.20202922821045
labvalues_alkaline_phosphatase_min,15.170819282531738
labvalues_inr(pt)_mean_m,15.162708282470703
vitals_dbp_median,15.135841369628906
labvalues_absolute_lymphocyte_count_first,14.577831268310547
labvalues_absolute_basophil_count_mean_m,14.388908386230469
labvalues_creatinine_last,14.382406234741211
vitals_o2sat_min,14.375471115112305
labvalues_hemoglobin_mean,14.162731170654297
labvalues_hemoglobin_median,13.736834526062012
labvalues_chloride_first,13.660934448242188
vitals_resprate_max,13.643486022949219
vitals_resprate_min,13.633825302124023
vitals_dbp_min,13.624135971069336
biometrics_bmi,13.600918769836426
labvalues_hematocrit_max,13.375645637512207
labvalues_oxygen_saturation_max,13.274822235107422
biometrics_weight,12.959580421447754
"labvalues_calcium,_total_max",12.737177848815918
labvalues_inr(pt)_min,12.73359203338623
labvalues_base_excess_first,12.560592651367188
labvalues_bicarbonate_mean_m,12.559453964233398
labvalues_absolute_basophil_count_min,12.511890411376953
labvalues_red_blood_cells_mean,12.470771789550781
labvalues_hematocrit_min,12.42945384979248
labvalues_platelet_count_min,12.405035972595215
labvalues_eosinophils_min,12.381865501403809
labvalues_hemoglobin_first,12.365877151489258
labvalues_neutrophils_max,12.31553840637207
biometrics_height,12.28980827331543
labvalues_troponin_t_mean,12.279940605163574
labvalues_glucose_min,12.272835731506348
labvalues_creatinine_mean,12.213772773742676
labvalues_free_calcium_max,12.20759105682373
labvalues_pt_min,12.190731048583984
labvalues_platelet_count_mean,12.133711814880371
labvalues_inr(pt)_mean,12.003935813903809
labvalues_urea_nitrogen_max,11.986432075500488
labvalues_lactate_min,11.970634460449219
labvalues_red_blood_cells_max,11.951963424682617
labvalues_basophils_mean,11.9224214553833
labvalues_pco2_mean,11.912666320800781
labvalues_basophils_last,11.894502639770508
demographics_gender,11.83044719696045
labvalues_hematocrit_mean,11.809173583984375
labvalues_alanine_aminotransferase_(alt)_mean,11.753033638000488
vitals_sbp_median,11.643136978149414
labvalues_hemoglobin_max,11.635054588317871
labvalues_alkaline_phosphatase_mean,11.632555961608887
vitals_dbp_max,11.568718910217285
demographics_ethnicity,11.511032104492188
labvalues_albumin_mean,11.471017837524414
labvalues_lactate_first,11.312640190124512
vitals_sbp_max,11.171540260314941
labvalues_creatine_kinase_(ck)_mean,11.152581214904785
labvalues_hematocrit_last,10.92044734954834
labvalues_absolute_eosinophil_count_mean,10.801675796508789
labvalues_urea_nitrogen_mean,10.781311988830566
vitals_sbp_min,10.754542350769043
labvalues_sodium_min,10.481246948242188
labvalues_phosphate_mean,10.439702033996582
vitals_heartrate_first,10.437713623046875
labvalues_white_blood_cells_mean,10.397012710571289
labvalues_lactate_max,10.362202644348145
vitals_sbp_rate_change,10.361371040344238
labvalues_absolute_eosinophil_count_first,10.352182388305664
biometrics_height_m,10.31775188446045
labvalues_lactate_mean,10.284566879272461
labvalues_white_blood_cells_max,10.277541160583496
labvalues_ptt_mean,10.193157196044922
"labvalues_calcium,_total_mean",10.186808586120605
labvalues_neutrophils_mean,10.106563568115234
vitals_o2sat_mean,10.10294246673584
vitals_o2sat_coeff,10.064146995544434
vitals_temperature_coeff,9.913178443908691
vitals_sbp_coeff,9.855695724487305
vitals_o2sat_last,9.812811851501465
vitals_dbp_mean,9.767929077148438
labvalues_pco2_min,9.695075035095215
labvalues_ptt_min,9.65595817565918
labvalues_absolute_lymphocyte_count_mean,9.595396041870117
vitals_heartrate_last,9.567312240600586
labvalues_sodium_mean,9.500273704528809
labvalues_base_excess_rate_change,9.484622955322266
labvalues_free_calcium_mean,9.483148574829102
labvalues_c-reactive_protein_mean,9.476746559143066
vitals_o2sat_rate_change,9.446066856384277
labvalues_white_blood_cells_rate_change,9.37823486328125
labvalues_magnesium_mean,9.372247695922852
"labvalues_calcium,_total_first",9.33413314819336
vitals_temperature_first,9.319884300231934
labvalues_pt_mean,9.248058319091797
biometrics_bmi_m,9.202569961547852
vitals_dbp_std,9.129101753234863
vitals_temperature_mean_m,9.09855842590332
labvalues_potassium_min,9.084270477294922
labvalues_rdw_mean,9.062960624694824
labvalues_absolute_lymphocyte_count_last,9.053818702697754
labvalues_bicarbonate_last,9.040313720703125
vitals_resprate_median,8.992921829223633
labvalues_eosinophils_mean,8.949012756347656
labvalues_asparate_aminotransferase_(ast)_mean,8.943490982055664
vitals_resprate_first,8.934995651245117
labvalues_chloride_mean,8.923905372619629
labvalues_absolute_basophil_count_mean,8.844803810119629
labvalues_lymphocytes_mean,8.82262134552002
vitals_dbp_first,8.821427345275879
vitals_acuity,8.735164642333984
vitals_sbp_first,8.708086967468262
vitals_heartrate_max,8.691716194152832
labvalues_phosphate_rate_change,8.651371955871582
labvalues_troponin_t_mean_m,8.639366149902344
vitals_o2sat_std,8.564390182495117
vitals_temperature_max,8.558595657348633
labvalues_magnesium_min,8.492459297180176
labvalues_oxygen_saturation_mean,8.483259201049805
vitals_dbp_last,8.436925888061523
labvalues_ph_mean_m,8.407198905944824
labvalues_glucose_max,8.388710975646973
vitals_heartrate_mean,8.313468933105469
labvalues_absolute_basophil_count_std,8.288013458251953
labvalues_eosinophils_last,8.244422912597656
labvalues_white_blood_cells_coeff,8.238282203674316
labvalues_creatinine_rate_change,8.157623291015625
labvalues_hemoglobin_coeff,8.154417037963867
labvalues_alanine_aminotransferase_(alt)_min,8.136795997619629
vitals_o2sat_median,8.052681922912598
"labvalues_creatine_kinase,_mb_isoenzyme_mean",8.004973411560059
vitals_sbp_mean,7.936319828033447
labvalues_glucose_mean,7.917932987213135
vitals_heartrate_rate_change,7.901052951812744
labvalues_glucose_median,7.834630012512207
labvalues_creatine_kinase_(ck)_max,7.820005416870117
labvalues_bands_min,7.7720046043396
vitals_resprate_coeff,7.724233150482178
vitals_heartrate_coeff,7.6393890380859375
labvalues_asparate_aminotransferase_(ast)_std,7.60418176651001
vitals_temperature_mean,7.600874423980713
vitals_resprate_last,7.571020603179932
vitals_resprate_std,7.563758373260498
labvalues_alanine_aminotransferase_(alt)_max,7.49651575088501
vitals_temperature_min,7.462159156799316
labvalues_hemoglobin_std,7.444023609161377
labvalues_white_blood_cells_std,7.406364440917969
"labvalues_fibrinogen,_functional_mean",7.39460563659668
labvalues_oxygen_saturation_min,7.361248016357422
vitals_resprate_mean,7.356513023376465
vitals_o2sat_max,7.312924385070801
labvalues_carboxyhemoglobin_mean,7.279693126678467
labvalues_ph_std,7.2588090896606445
vitals_heartrate_std,7.165622234344482
labvalues_phosphate_std,7.077732086181641
vitals_sbp_last,6.926727771759033
labvalues_ph_coeff,6.866331100463867
labvalues_bicarbonate_mean,6.836055755615234
labvalues_sodium_first,6.721269130706787
vitals_heartrate_median,6.684043884277344
vitals_heartrate_min,6.654788017272949
labvalues_ph_mean,6.648012161254883
"labvalues_bilirubin,_total_min",6.641197204589844
labvalues_creatine_kinase_(ck)_mean_m,6.538158416748047
labvalues_phosphate_max,6.270855903625488
vitals_sbp_std,5.840635776519775
labvalues_eosinophils_max,5.703775882720947
labvalues_lymphocytes_max,5.617145538330078
"labvalues_bilirubin,_total_mean_m",4.791118144989014
vitals_temperature_std,4.555572032928467
vitals_temperature_last,4.526557922363281
labvalues_urea_nitrogen_rate_change,4.27241325378418
labvalues_platelet_count_std,4.096953392028809
labvalues_urea_nitrogen_first,4.026027202606201
vitals_dbp_rate_change,3.9872496128082275
labvalues_red_blood_cells_coeff,3.97772216796875
labvalues_potassium_max,3.8869688510894775
vitals_dbp_coeff,3.402768850326538
labvalues_chloride_last,3.317135810852051
labvalues_magnesium_std,3.1971435546875
"labvalues_calcium,_total_rate_change",3.1907958984375
labvalues_potassium_mean,3.107652425765991
labvalues_chloride_max,3.0809097290039062
labvalues_creatinine_min,2.813140869140625
labvalues_chloride_last_m,0.0
labvalues_creatine_kinase_(ck)_last_m,0.0
labvalues_creatine_kinase_(ck)_first_m,0.0
labvalues_chloride_rate_change_m,0.0
labvalues_chloride_coeff_m,0.0
labvalues_creatine_kinase_(ck)_median_m,0.0
labvalues_creatine_kinase_(ck)_std_m,0.0
labvalues_creatine_kinase_(ck)_min_m,0.0
labvalues_creatine_kinase_(ck)_max_m,0.0
labvalues_chloride_std_m,0.0
labvalues_eosinophils_min_m,0.0
labvalues_eosinophils_max_m,0.0
labvalues_eosinophils_std_m,0.0
labvalues_eosinophils_first_m,0.0
labvalues_eosinophils_last_m,0.0
labvalues_eosinophils_rate_change_m,0.0
labvalues_eosinophils_coeff_m,0.0
"labvalues_fibrinogen,_functional_mean_m",0.0
"labvalues_fibrinogen,_functional_median_m",0.0
labvalues_chloride_first_m,0.0
"labvalues_fibrinogen,_functional_max_m",0.0
"labvalues_fibrinogen,_functional_std_m",0.0
"labvalues_fibrinogen,_functional_first_m",0.0
"labvalues_fibrinogen,_functional_last_m",0.0
"labvalues_fibrinogen,_functional_rate_change_m",0.0
"labvalues_fibrinogen,_functional_coeff_m",0.0
labvalues_free_calcium_mean_m,0.0
labvalues_free_calcium_median_m,0.0
labvalues_free_calcium_min_m,0.0
labvalues_free_calcium_std_m,0.0
"labvalues_fibrinogen,_functional_min_m",0.0
labvalues_creatine_kinase_(ck)_rate_change_m,0.0
labvalues_creatine_kinase_(ck)_coeff_m,0.0
"labvalues_creatine_kinase,_mb_isoenzyme_mean_m",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_median_m",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_min_m",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_max_m",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_std_m",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_first_m",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_last_m",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_rate_change_m",0.0
labvalues_eosinophils_median_m,0.0
labvalues_creatinine_mean_m,0.0
labvalues_creatinine_median_m,0.0
labvalues_creatinine_min_m,0.0
labvalues_creatinine_max_m,0.0
labvalues_creatinine_std_m,0.0
labvalues_creatinine_first_m,0.0
labvalues_creatinine_last_m,0.0
labvalues_creatinine_rate_change_m,0.0
labvalues_creatinine_coeff_m,0.0
labvalues_eosinophils_mean_m,0.0
"labvalues_creatine_kinase,_mb_isoenzyme_coeff_m",0.0
labvalues_bands_last_m,0.0
labvalues_bands_rate_change_m,0.0
labvalues_bands_coeff_m,0.0
labvalues_base_excess_mean_m,0.0
labvalues_base_excess_median_m,0.0
labvalues_base_excess_min_m,0.0
labvalues_base_excess_max_m,0.0
labvalues_base_excess_std_m,0.0
labvalues_base_excess_first_m,0.0
labvalues_base_excess_last_m,0.0
labvalues_base_excess_rate_change_m,0.0
labvalues_base_excess_coeff_m,0.0
labvalues_free_calcium_max_m,0.0
labvalues_basophils_median_m,0.0
labvalues_basophils_min_m,0.0
labvalues_basophils_max_m,0.0
labvalues_basophils_std_m,0.0
labvalues_basophils_first_m,0.0
labvalues_basophils_last_m,0.0
labvalues_basophils_rate_change_m,0.0
labvalues_basophils_coeff_m,0.0
labvalues_bicarbonate_median_m,0.0
