feature,importance
prob_mortality1d,1527.5313720703125
variance,23.969411849975586
labvalues_basophils_rate_change_m,14.033064842224121
labvalues_lactate_last,13.406261444091797
biometrics_weight_m,13.225044250488281
vitals_acuity_m,12.836416244506836
vitals_resprate_mean_m,12.478998184204102
labvalues_pt_min,11.807124137878418
labvalues_urea_nitrogen_min,11.671341896057129
labvalues_pco2_last,11.363945960998535
labvalues_oxygen_saturation_min,11.139015197753906
labvalues_glucose_first,10.744987487792969
labvalues_rdw_min,10.500319480895996
labvalues_lymphocytes_min,10.490281105041504
labvalues_sodium_last,10.460725784301758
labvalues_lactate_first,10.372743606567383
labvalues_troponin_t_mean,10.175365447998047
"labvalues_creatine_kinase,_mb_isoenzyme_mean_m",10.116741180419922
labvalues_troponin_t_max,9.785894393920898
labvalues_sodium_max,9.663191795349121
labvalues_red_blood_cells_max,9.64292049407959
labvalues_hemoglobin_last,9.58432388305664
labvalues_lactate_max,9.578929901123047
labvalues_potassium_first,9.395564079284668
vitals_temperature_rate_change,9.188998222351074
vitals_dbp_mean,9.119146347045898
labvalues_asparate_aminotransferase_(ast)_min,9.106573104858398
labvalues_magnesium_min,8.938365936279297
labvalues_white_blood_cells_mean,8.847820281982422
vitals_temperature_median,8.832381248474121
labvalues_alkaline_phosphatase_min,8.807111740112305
labvalues_creatinine_last,8.713671684265137
vitals_temperature_mean,8.704768180847168
vitals_temperature_last,8.68181037902832
labvalues_asparate_aminotransferase_(ast)_first,8.591065406799316
labvalues_absolute_eosinophil_count_rate_change_m,8.512916564941406
labvalues_glucose_min,8.407272338867188
"labvalues_fibrinogen,_functional_mean",8.368046760559082
vitals_sbp_last,8.337715148925781
labvalues_oxygen_saturation_coeff,8.242820739746094
vitals_o2sat_median,8.182887077331543
vitals_resprate_mean,8.065521240234375
vitals_sbp_rate_change,8.024951934814453
labvalues_rdw_max,8.012088775634766
labvalues_albumin_last,7.948566913604736
demographics_gender,7.879945755004883
labvalues_base_excess_last,7.695874214172363
vitals_o2sat_coeff,7.563645839691162
labvalues_ph_last,7.497121810913086
labvalues_potassium_min,7.431966304779053
vitals_resprate_median,7.411856651306152
vitals_temperature_mean_m,7.407337188720703
labvalues_carboxyhemoglobin_mean,7.3403215408325195
labvalues_bicarbonate_min,7.324395656585693
labvalues_rdw_mean,7.2888641357421875
