feature,mean_abs_shap
prob_mortality365d_platt,1.1695049
prob_mortality365d,1.1580013
prob_mortality365d_isotonic,0.09962958
demographics_age,0.034909822
biometrics_weight_m,0.016488522
vitals_resprate_mean_m,0.013139392
vitals_o2sat_median,0.011737186
labvalues_white_blood_cells_mean,0.008975114
labvalues_rdw_mean,0.008785445
labvalues_creatinine_min,0.008774583
labvalues_potassium_mean_m,0.008124212
biometrics_bmi,0.0077874055
biometrics_weight,0.0063943057
vitals_o2sat_max,0.006386921
vitals_sbp_median,0.006240036
labvalues_hematocrit_mean,0.0060613817
labvalues_asparate_aminotransferase_(ast)_mean,0.0052585155
demographics_ethnicity,0.005089004
labvalues_hematocrit_last,0.004634818
labvalues_neutrophils_max,0.004522297
labvalues_white_blood_cells_last,0.004510447
labvalues_albumin_mean_m,0.0044401065
labvalues_hematocrit_max,0.004305244
labvalues_platelet_count_max,0.0042127203
labvalues_troponin_t_max,0.0041089593
labvalues_urea_nitrogen_mean,0.0040324405
labvalues_alkaline_phosphatase_mean,0.0039559496
"labvalues_calcium,_total_min",0.003813432
labvalues_platelet_count_mean,0.003631653
labvalues_creatinine_mean,0.0036285904
labvalues_albumin_mean,0.0036188106
vitals_temperature_max,0.0035820133
vitals_sbp_max,0.0035282357
labvalues_lactate_first,0.0034911474
vitals_sbp_last,0.0034741724
labvalues_lactate_mean,0.0033804027
labvalues_albumin_min,0.003361752
labvalues_lymphocytes_mean,0.003346075
labvalues_troponin_t_mean,0.0032231673
labvalues_neutrophils_mean,0.00320569
labvalues_platelet_count_mean_m,0.003089127
vitals_resprate_max,0.0029778306
labvalues_white_blood_cells_min,0.0029670545
labvalues_albumin_last,0.002951113
"labvalues_bilirubin,_total_rate_change_m",0.0027484691
vitals_sbp_first,0.002656478
labvalues_rdw_min,0.0025993767
labvalues_lactate_min,0.0025944107
vitals_resprate_first,0.0025921583
labvalues_lactate_last,0.002463475
labvalues_hemoglobin_min,0.0024531486
vitals_dbp_min,0.0024169101
vitals_sbp_min,0.0024126323
labvalues_eosinophils_mean,0.0024114852
labvalues_creatinine_mean_m,0.0023634234
labvalues_glucose_min,0.0022648228
labvalues_hematocrit_mean_m,0.0021741253
vitals_o2sat_first,0.0021663941
labvalues_lymphocytes_max,0.0021180473
labvalues_rdw_mean_m,0.0020465849
labvalues_phosphate_mean,0.001992737
labvalues_c-reactive_protein_mean_m,0.0019532223
labvalues_lactate_mean_m,0.0019500701
labvalues_hemoglobin_last,0.0019299162
labvalues_neutrophils_min,0.0019258386
labvalues_lymphocytes_min,0.0018766363
labvalues_carboxyhemoglobin_min,0.001833674
labvalues_alkaline_phosphatase_min,0.0018158245
labvalues_red_blood_cells_mean,0.0017888916
labvalues_urea_nitrogen_min,0.0017374158
labvalues_white_blood_cells_max,0.0017313458
vitals_temperature_mean,0.0016965322
labvalues_alanine_aminotransferase_(alt)_min,0.0016822767
labvalues_bicarbonate_last,0.0016773881
labvalues_hematocrit_min,0.0016290449
vitals_sbp_std,0.0016197301
demographics_gender,0.001612593
labvalues_troponin_t_mean_m,0.0015939802
"labvalues_calcium,_total_mean",0.001530579
vitals_dbp_max,0.0014899384
labvalues_creatinine_max,0.0014615866
labvalues_carboxyhemoglobin_mean,0.0014384874
vitals_sbp_mean_m,0.001428346
labvalues_chloride_mean_m,0.0014043476
vitals_heartrate_mean_m,0.0013338404
vitals_o2sat_coeff,0.0013267127
labvalues_alanine_aminotransferase_(alt)_mean,0.0013237455
labvalues_platelet_count_min,0.001322252
labvalues_eosinophils_min,0.0012353299
labvalues_glucose_last,0.0012187768
labvalues_hemoglobin_max,0.0012044889
"labvalues_calcium,_total_last",0.0011963281
labvalues_creatinine_rate_change,0.0011947441
vitals_o2sat_min,0.0011925014
labvalues_pt_mean,0.0011714936
vitals_o2sat_mean,0.001158845
vitals_dbp_median,0.0011401036
labvalues_creatine_kinase_(ck)_mean,0.0011216494
vitals_dbp_last,0.0011027938
vitals_resprate_last,0.001092445
labvalues_lactate_max,0.0010708801
labvalues_magnesium_mean,0.0010628458
vitals_dbp_rate_change,0.0010590408
labvalues_chloride_min,0.0010577014
labvalues_rdw_max,0.001033785
labvalues_lymphocytes_first,0.0010193924
labvalues_pt_min,0.0010123638
labvalues_bicarbonate_mean,0.0010080583
labvalues_hematocrit_first,0.0009916441
vitals_heartrate_max,0.0009879075
labvalues_albumin_first,0.0009857939
vitals_heartrate_first,0.0009788921
vitals_heartrate_coeff,0.0009777449
vitals_heartrate_last,0.0009646213
labvalues_alanine_aminotransferase_(alt)_max,0.00096250593
labvalues_inr(pt)_mean,0.0009532429
labvalues_glucose_max,0.0009507212
labvalues_base_excess_last,0.000946285
labvalues_glucose_mean_m,0.0009376641
"labvalues_bilirubin,_total_mean",0.0009267334
labvalues_creatinine_last,0.00092623907
labvalues_hemoglobin_median,0.0009087239
labvalues_albumin_max,0.0008859383
labvalues_absolute_eosinophil_count_mean,0.0008786125
labvalues_hemoglobin_mean,0.0008655703
labvalues_potassium_max,0.0008630614
biometrics_height,0.00085553864
labvalues_pco2_min,0.0008539181
labvalues_alanine_aminotransferase_(alt)_mean_m,0.00083881465
vitals_temperature_last,0.0008384739
labvalues_red_blood_cells_max,0.0008312688
labvalues_ptt_mean,0.00082627847
labvalues_sodium_mean_m,0.0008087279
labvalues_ptt_min,0.0007763618
vitals_heartrate_std,0.0007720618
vitals_resprate_mean,0.00076936657
labvalues_sodium_mean,0.0007460382
labvalues_potassium_mean,0.000742565
vitals_heartrate_min,0.0007406983
vitals_temperature_std,0.000721168
"labvalues_calcium,_total_max",0.0007207655
labvalues_hemoglobin_first,0.0006999583
vitals_heartrate_median,0.00069834216
vitals_o2sat_last,0.00068480684
labvalues_phosphate_min,0.00067266036
labvalues_lymphocytes_last,0.00066229067
labvalues_magnesium_mean_m,0.0006532646
vitals_dbp_mean,0.0006389463
labvalues_chloride_mean,0.0006371093
labvalues_bicarbonate_min,0.00063038187
labvalues_basophils_mean,0.00062928244
labvalues_glucose_mean,0.0006221252
vitals_sbp_rate_change,0.00062182697
labvalues_potassium_min,0.0006110936
vitals_sbp_mean,0.0006049033
"labvalues_calcium,_total_mean_m",0.00060065126
labvalues_absolute_lymphocyte_count_mean,0.0005827915
labvalues_inr(pt)_max,0.0005636699
