feature,mean_abs_shap
prob_mortality365d,1.3451488
entropy,1.1934156
prob_mortality365d_isotonic,0.067347325
spread,0.038015325
demographics_age,0.03349894
variance,0.031852692
labvalues_urea_nitrogen_mean,0.0120262215
labvalues_hemoglobin_first,0.011394423
labvalues_hematocrit_mean,0.010320641
labvalues_platelet_count_mean,0.008614745
labvalues_lactate_first,0.008343739
demographics_ethnicity,0.0076101567
biometrics_weight,0.007581007
labvalues_neutrophils_max,0.0069384915
vitals_dbp_last,0.0066315327
biometrics_bmi,0.0064892005
vitals_o2sat_median,0.006486369
labvalues_creatinine_mean,0.0053857085
labvalues_basophils_mean,0.004642499
labvalues_troponin_t_mean,0.004625415
labvalues_hematocrit_min,0.00457652
vitals_resprate_first,0.004417201
vitals_sbp_std,0.004406597
labvalues_hemoglobin_min,0.004278377
labvalues_creatine_kinase_(ck)_mean,0.004115497
labvalues_alanine_aminotransferase_(alt)_mean,0.0040142853
labvalues_absolute_lymphocyte_count_mean,0.003893126
biometrics_height,0.0037195003
labvalues_hematocrit_last,0.0034557516
labvalues_troponin_t_max,0.0034035007
labvalues_white_blood_cells_mean,0.003325051
labvalues_albumin_mean,0.0033025113
labvalues_rdw_mean,0.0032694335
labvalues_platelet_count_max,0.0028003547
vitals_o2sat_mean,0.0027334502
labvalues_creatinine_max,0.002664914
labvalues_lactate_mean,0.0026542228
vitals_dbp_min,0.0026065907
demographics_gender,0.0024779139
labvalues_hematocrit_max,0.0023567346
labvalues_glucose_min,0.0023227925
labvalues_potassium_max,0.002255132
labvalues_sodium_mean,0.0021836585
labvalues_chloride_mean,0.0021719139
labvalues_white_blood_cells_max,0.002019971
biometrics_weight_m,0.0020092034
labvalues_potassium_mean,0.0020055005
labvalues_eosinophils_max,0.0020012637
labvalues_alanine_aminotransferase_(alt)_min,0.0019676262
vitals_sbp_min,0.0019371911
labvalues_alkaline_phosphatase_min,0.001934279
labvalues_red_blood_cells_max,0.0019248336
labvalues_neutrophils_mean,0.0019155708
vitals_o2sat_last,0.0018720182
labvalues_hematocrit_first,0.0018464912
labvalues_pt_mean,0.0018454909
labvalues_glucose_max,0.001809226
labvalues_eosinophils_mean,0.0017884016
labvalues_alkaline_phosphatase_mean,0.0017194544
labvalues_troponin_t_mean_m,0.0016396164
vitals_sbp_max,0.0016347887
labvalues_inr(pt)_min,0.0016102229
labvalues_chloride_first,0.0015707925
vitals_dbp_first,0.0015700855
vitals_o2sat_max,0.0015589684
vitals_dbp_coeff,0.0015494508
biometrics_bmi_m,0.0015157838
labvalues_asparate_aminotransferase_(ast)_mean,0.0014290676
labvalues_red_blood_cells_mean,0.0014226161
labvalues_creatinine_last,0.0013664734
vitals_sbp_last,0.0013655825
labvalues_sodium_first,0.0013605112
labvalues_lymphocytes_mean,0.0013574767
labvalues_absolute_basophil_count_mean,0.0013225195
labvalues_platelet_count_min,0.0012737045
vitals_heartrate_last,0.0012196008
vitals_o2sat_std,0.0011946101
vitals_heartrate_rate_change,0.0011843719
labvalues_magnesium_min,0.0011767292
labvalues_pt_min,0.0011601732
labvalues_glucose_median,0.0011469017
labvalues_hemoglobin_mean,0.0011340858
"labvalues_calcium,_total_first",0.0011213548
vitals_resprate_median,0.0011085559
labvalues_hemoglobin_max,0.0010857163
vitals_dbp_median,0.0010322313
vitals_sbp_mean,0.0010059954
vitals_heartrate_mean,0.0009982015
labvalues_bicarbonate_mean,0.00096174434
vitals_acuity,0.0009608681
vitals_temperature_first,0.00093316816
vitals_o2sat_first,0.00091419654
labvalues_pco2_max,0.0009087158
labvalues_sodium_min,0.0009039936
vitals_o2sat_min,0.0008697154
labvalues_hemoglobin_std,0.00085083203
vitals_temperature_max,0.00083011814
vitals_dbp_max,0.0008260588
labvalues_ptt_min,0.00078901515
labvalues_inr(pt)_mean,0.0007713895
labvalues_ptt_mean,0.00071991
vitals_heartrate_min,0.000703476
labvalues_red_blood_cells_first,0.0006599328
labvalues_glucose_mean,0.0006209173
labvalues_hemoglobin_coeff,0.0006088402
vitals_heartrate_first,0.0005888532
labvalues_absolute_basophil_count_mean_m,0.00055331003
vitals_resprate_std,0.0005498991
labvalues_inr(pt)_mean_m,0.00053686515
labvalues_absolute_lymphocyte_count_first,0.0005225457
labvalues_creatinine_rate_change,0.0005136541
"labvalues_bilirubin,_total_min",0.00050860835
labvalues_phosphate_mean,0.0005076317
labvalues_lactate_last,0.0005070771
vitals_resprate_max,0.00049329805
labvalues_alanine_aminotransferase_(alt)_max,0.00048507904
labvalues_free_calcium_mean,0.00048221924
labvalues_pco2_mean,0.00047767677
"labvalues_creatine_kinase,_mb_isoenzyme_mean",0.00046619234
labvalues_bicarbonate_last,0.00044470353
vitals_sbp_median,0.00043814347
biometrics_height_m,0.0004351946
vitals_resprate_coeff,0.00043487808
labvalues_chloride_min,0.00041975788
labvalues_urea_nitrogen_first,0.00041703938
labvalues_creatine_kinase_(ck)_mean_m,0.00041609476
labvalues_rdw_last,0.000414812
labvalues_albumin_max,0.0004146791
vitals_dbp_std,0.0003897902
labvalues_platelet_count_last,0.00038889013
labvalues_potassium_min,0.00035868667
vitals_temperature_mean_m,0.00035706238
labvalues_phosphate_max,0.00034951858
vitals_heartrate_coeff,0.00034927373
vitals_temperature_coeff,0.00034825303
labvalues_alkaline_phosphatase_max,0.00034284656
labvalues_oxygen_saturation_max,0.00031799686
vitals_sbp_rate_change,0.00031719956
labvalues_absolute_basophil_count_min,0.00031049864
vitals_heartrate_std,0.0003092692
labvalues_lactate_min,0.00030767728
vitals_heartrate_median,0.00028607767
labvalues_base_excess_rate_change,0.00028568588
labvalues_eosinophils_last,0.00028544845
"labvalues_calcium,_total_mean",0.00028015644
labvalues_creatinine_min,0.0002794751
labvalues_carboxyhemoglobin_max,0.00026076275
labvalues_magnesium_mean,0.00026031537
labvalues_bicarbonate_min,0.0002555724
vitals_resprate_min,0.0002461123
vitals_sbp_coeff,0.00024277851
vitals_dbp_mean,0.00024121311
labvalues_absolute_eosinophil_count_mean,0.00023397627
