feature,mean_abs_shap
prob_mortality365d,2.9118667
demographics_age,0.11811998
prob_mortality365d_isotonic,0.0889082
labvalues_rdw_mean,0.05553332
vitals_sbp_std,0.028760374
vitals_sbp_first,0.027607024
labvalues_basophils_rate_change_m,0.02686292
vitals_sbp_max,0.024224022
biometrics_bmi,0.022836851
labvalues_red_blood_cells_mean,0.022129348
labvalues_rdw_min,0.021909367
labvalues_albumin_mean,0.018897293
labvalues_lymphocytes_max,0.017961862
vitals_heartrate_std,0.017098283
vitals_heartrate_last,0.015828924
demographics_gender,0.014812303
vitals_sbp_mean,0.014453628
labvalues_red_blood_cells_max,0.012921651
labvalues_lymphocytes_mean,0.0118649565
labvalues_lactate_first,0.011797079
vitals_heartrate_min,0.011357349
labvalues_lactate_mean_m,0.011293418
labvalues_urea_nitrogen_mean,0.010767749
labvalues_eosinophils_first,0.010661956
demographics_ethnicity_hispanic/latino,0.009335752
vitals_sbp_min,0.009292303
vitals_o2sat_mean,0.008723352
vitals_resprate_last,0.008596007
labvalues_urea_nitrogen_min,0.008590569
vitals_dbp_std,0.008379596
labvalues_hemoglobin_min,0.008352549
labvalues_troponin_t_min,0.00826915
labvalues_white_blood_cells_max,0.008066376
labvalues_base_excess_rate_change_m,0.008046637
labvalues_platelet_count_mean,0.007986691
labvalues_neutrophils_max,0.007981299
labvalues_rdw_max,0.0077914656
vitals_resprate_mean,0.006596162
labvalues_hemoglobin_mean_m,0.006518416
labvalues_lymphocytes_last,0.0064143795
labvalues_creatinine_mean_m,0.0062512523
labvalues_red_blood_cells_min,0.0057207565
vitals_dbp_min,0.0051202863
labvalues_chloride_max,0.004979437
biometrics_height,0.0049561923
labvalues_neutrophils_rate_change_m,0.00488804
demographics_ethnicity_white,0.004863992
vitals_temperature_coeff,0.0047812182
vitals_dbp_coeff,0.0047416184
labvalues_platelet_count_max,0.004711425
labvalues_alkaline_phosphatase_mean,0.0045724437
labvalues_troponin_t_rate_change_m,0.004546981
labvalues_urea_nitrogen_max,0.004428632
vitals_resprate_std,0.004294545
vitals_resprate_max,0.004231429
labvalues_eosinophils_mean,0.0042105755
labvalues_albumin_min,0.0041335374
labvalues_pco2_mean_m,0.0040780143
vitals_dbp_mean,0.004035659
labvalues_glucose_mean_m,0.0040216288
labvalues_pt_mean,0.0040189964
labvalues_albumin_max,0.0039425883
vitals_resprate_min,0.0038866794
labvalues_chloride_min,0.003871044
labvalues_hematocrit_last,0.0037517871
labvalues_creatinine_min,0.0037407519
labvalues_lymphocytes_min,0.0035732524
vitals_dbp_max,0.0034571253
labvalues_lactate_last,0.00339419
labvalues_magnesium_mean,0.0033142997
labvalues_eosinophils_rate_change_m,0.0032900358
labvalues_hemoglobin_last,0.0032683453
labvalues_hematocrit_max,0.0032166184
labvalues_platelet_count_last,0.0030649274
labvalues_absolute_lymphocyte_count_max,0.0030503857
labvalues_lactate_mean,0.0030012063
labvalues_pco2_last,0.0030003937
vitals_sbp_rate_change,0.0028316667
labvalues_glucose_max,0.0028137476
labvalues_platelet_count_min,0.002800204
labvalues_pco2_min,0.0027345635
labvalues_white_blood_cells_mean,0.0025149249
labvalues_red_blood_cells_last,0.0025083371
labvalues_pt_mean_m,0.0024906308
labvalues_chloride_mean,0.0024648053
vitals_resprate_first,0.002458219
vitals_heartrate_mean,0.0022664212
labvalues_hemoglobin_first,0.0022454504
labvalues_red_blood_cells_first,0.0022328051
labvalues_potassium_mean,0.0022052983
labvalues_pt_last,0.0021522075
labvalues_basophils_mean,0.0021439295
vitals_dbp_first,0.0021079988
biometrics_bmi_m,0.0020247858
labvalues_pt_min,0.002022073
demographics_ethnicity_black/african,0.0019836072
labvalues_potassium_last,0.001887516
labvalues_sodium_max,0.0018507446
labvalues_bands_mean_m,0.0018245822
labvalues_inr(pt)_mean_m,0.001791331
labvalues_neutrophils_mean,0.0017758304
vitals_resprate_median,0.0017012919
labvalues_bicarbonate_max,0.0017001992
labvalues_rdw_last,0.0016953987
vitals_heartrate_max,0.001661767
labvalues_absolute_lymphocyte_count_mean,0.0015401108
labvalues_troponin_t_mean_m,0.0015381621
labvalues_neutrophils_last,0.0015316036
vitals_heartrate_coeff,0.0015218996
biometrics_weight,0.0015161098
vitals_heartrate_first,0.0014548777
vitals_dbp_last,0.0014392753
labvalues_pco2_max,0.0014212428
vitals_o2sat_std,0.0013211184
labvalues_lactate_max,0.0013155797
labvalues_potassium_max,0.0012996251
labvalues_sodium_mean,0.0012817419
labvalues_bicarbonate_min,0.0012587775
labvalues_alkaline_phosphatase_max,0.0012576842
biometrics_weight_m,0.0012361975
labvalues_inr(pt)_last,0.0012285047
labvalues_magnesium_first,0.0012278332
labvalues_magnesium_mean_m,0.0012235404
labvalues_hematocrit_mean_m,0.001197663
vitals_heartrate_rate_change,0.001185157
labvalues_base_excess_mean_m,0.0011003555
vitals_o2sat_first,0.0010884875
vitals_temperature_std,0.0010749025
vitals_sbp_last,0.0010576366
vitals_acuity,0.0010152503
labvalues_creatinine_mean,0.0010071357
labvalues_alkaline_phosphatase_min,0.0009827918
labvalues_magnesium_min,0.0009504126
labvalues_potassium_min,0.0009212497
labvalues_phosphate_mean,0.00079298276
vitals_dbp_rate_change,0.00078502216
labvalues_alanine_aminotransferase_(alt)_mean,0.00074696867
labvalues_sodium_min,0.00072903925
"labvalues_calcium,_total_min",0.00071915454
labvalues_lymphocytes_first,0.0007189686
labvalues_creatine_kinase_(ck)_mean,0.00071639975
"labvalues_bilirubin,_total_mean_m",0.0007103192
vitals_sbp_median,0.0006841345
labvalues_bicarbonate_mean,0.000679188
labvalues_ptt_mean,0.00064489176
vitals_o2sat_median,0.0006394028
labvalues_alanine_aminotransferase_(alt)_max,0.0006269929
labvalues_hematocrit_mean,0.00062313216
labvalues_troponin_t_mean,0.0005904473
labvalues_creatinine_max,0.0005884122
labvalues_phosphate_last,0.0005820613
vitals_resprate_coeff,0.0005762237
labvalues_absolute_basophil_count_mean_m,0.0005746976
labvalues_alanine_aminotransferase_(alt)_min,0.00056502747
vitals_heartrate_median,0.00056183565
demographics_ethnicity_other,0.00048423748
vitals_dbp_median,0.0004316664
labvalues_ptt_min,0.0004139303
labvalues_neutrophils_min,0.00040930434
vitals_temperature_min,0.00040304047
"labvalues_calcium,_total_mean",0.00039927903
labvalues_asparate_aminotransferase_(ast)_min,0.00039025635
"labvalues_calcium,_total_last",0.00038835156
"labvalues_creatine_kinase,_mb_isoenzyme_mean",0.00035233554
labvalues_pco2_median,0.0003455857
"labvalues_calcium,_total_mean_m",0.00033166737
labvalues_troponin_t_max,0.00031281423
vitals_temperature_max,0.0003110728
labvalues_absolute_basophil_count_mean,0.00029709516
vitals_acuity_m,0.00028241207
vitals_o2sat_coeff,0.0002822402
labvalues_base_excess_min,0.00027958595
labvalues_eosinophils_min,0.00027651884
labvalues_absolute_eosinophil_count_min,0.00027089077
vitals_heartrate_mean_m,0.00025494673
vitals_temperature_first,0.00025317664
vitals_temperature_last,0.000246927
labvalues_glucose_mean,0.00023995076
labvalues_hematocrit_min,0.00023528622
vitals_resprate_mean_m,0.00022481322
labvalues_eosinophils_max,0.0002193221
biometrics_height_m,0.00021256458
vitals_temperature_rate_change,0.00021113452
labvalues_inr(pt)_mean,0.00020528873
labvalues_asparate_aminotransferase_(ast)_mean,0.00019725444
labvalues_ptt_last,0.00018501627
labvalues_ph_mean,0.00017056323
"labvalues_calcium,_total_max",0.00015279626
"labvalues_bilirubin,_total_min",0.00013411928
labvalues_absolute_basophil_count_max,0.00010674082
labvalues_hemoglobin_mean,7.99784e-05
vitals_resprate_rate_change,6.4494445e-05
"labvalues_fibrinogen,_functional_mean",5.1386447e-05
vitals_sbp_coeff,5.0121835e-05
vitals_o2sat_max,4.5631263e-05
vitals_sbp_mean_m,4.2296037e-05
labvalues_absolute_eosinophil_count_mean,3.5744208e-05
vitals_o2sat_rate_change,2.775163e-05
labvalues_oxygen_saturation_max,2.3105007e-05
labvalues_inr(pt)_max,2.2183873e-05
labvalues_creatine_kinase_(ck)_coeff_m,0.0
labvalues_asparate_aminotransferase_(ast)_median_m,0.0
"labvalues_creatine_kinase,_mb_isoenzyme_mean_m",0.0
labvalues_asparate_aminotransferase_(ast)_mean_m,0.0
labvalues_alkaline_phosphatase_coeff_m,0.0
labvalues_alkaline_phosphatase_rate_change_m,0.0
labvalues_asparate_aminotransferase_(ast)_min_m,0.0
"labvalues_creatine_kinase,_mb_isoenzyme_median_m",0.0
labvalues_alkaline_phosphatase_first_m,0.0
labvalues_alkaline_phosphatase_std_m,0.0
labvalues_alkaline_phosphatase_max_m,0.0
"labvalues_creatine_kinase,_mb_isoenzyme_min_m",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_max_m",0.0
labvalues_alkaline_phosphatase_min_m,0.0
labvalues_alkaline_phosphatase_last_m,0.0
labvalues_bands_first_m,0.0
labvalues_bands_std_m,0.0
labvalues_creatine_kinase_(ck)_min_m,0.0
labvalues_bands_max_m,0.0
labvalues_creatine_kinase_(ck)_max_m,0.0
labvalues_creatine_kinase_(ck)_std_m,0.0
labvalues_bands_min_m,0.0
labvalues_bands_median_m,0.0
labvalues_alkaline_phosphatase_median_m,0.0
labvalues_asparate_aminotransferase_(ast)_coeff_m,0.0
labvalues_asparate_aminotransferase_(ast)_rate_change_m,0.0
labvalues_asparate_aminotransferase_(ast)_last_m,0.0
labvalues_asparate_aminotransferase_(ast)_first_m,0.0
labvalues_asparate_aminotransferase_(ast)_std_m,0.0
labvalues_creatine_kinase_(ck)_last_m,0.0
labvalues_asparate_aminotransferase_(ast)_max_m,0.0
labvalues_creatine_kinase_(ck)_rate_change_m,0.0
labvalues_creatine_kinase_(ck)_first_m,0.0
labvalues_creatinine_min_m,0.0
labvalues_creatinine_max_m,0.0
labvalues_creatinine_std_m,0.0
labvalues_alanine_aminotransferase_(alt)_first_m,0.0
labvalues_alanine_aminotransferase_(alt)_std_m,0.0
labvalues_creatinine_first_m,0.0
labvalues_creatinine_last_m,0.0
labvalues_alanine_aminotransferase_(alt)_max_m,0.0
"labvalues_creatine_kinase,_mb_isoenzyme_first_m",0.0
labvalues_alanine_aminotransferase_(alt)_min_m,0.0
labvalues_creatinine_coeff_m,0.0
labvalues_eosinophils_mean_m,0.0
labvalues_eosinophils_median_m,0.0
labvalues_alanine_aminotransferase_(alt)_median_m,0.0
labvalues_eosinophils_min_m,0.0
labvalues_alanine_aminotransferase_(alt)_mean_m,0.0
labvalues_absolute_lymphocyte_count_rate_change_m,0.0
labvalues_eosinophils_max_m,0.0
labvalues_creatinine_rate_change_m,0.0
"labvalues_creatine_kinase,_mb_isoenzyme_std_m",0.0
labvalues_alkaline_phosphatase_mean_m,0.0
labvalues_creatine_kinase_(ck)_median_m,0.0
"labvalues_creatine_kinase,_mb_isoenzyme_last_m",0.0
labvalues_albumin_coeff_m,0.0
"labvalues_creatine_kinase,_mb_isoenzyme_rate_change_m",0.0
labvalues_albumin_rate_change_m,0.0
labvalues_albumin_last_m,0.0
labvalues_alanine_aminotransferase_(alt)_last_m,0.0
"labvalues_creatine_kinase,_mb_isoenzyme_coeff_m",0.0
labvalues_albumin_std_m,0.0
labvalues_albumin_max_m,0.0
labvalues_albumin_min_m,0.0
labvalues_albumin_median_m,0.0
labvalues_albumin_mean_m,0.0
labvalues_alanine_aminotransferase_(alt)_coeff_m,0.0
labvalues_creatinine_median_m,0.0
labvalues_alanine_aminotransferase_(alt)_rate_change_m,0.0
labvalues_albumin_first_m,0.0
"labvalues_bilirubin,_direct_last_m",0.0
"labvalues_bilirubin,_direct_first_m",0.0
"labvalues_calcium,_total_median_m",0.0
"labvalues_bilirubin,_direct_std_m",0.0
"labvalues_bilirubin,_direct_max_m",0.0
"labvalues_calcium,_total_min_m",0.0
"labvalues_calcium,_total_max_m",0.0
"labvalues_calcium,_total_std_m",0.0
"labvalues_calcium,_total_first_m",0.0
labvalues_bands_last_m,0.0
"labvalues_bilirubin,_direct_median_m",0.0
"labvalues_bilirubin,_direct_mean_m",0.0
labvalues_bicarbonate_coeff_m,0.0
"labvalues_calcium,_total_last_m",0.0
labvalues_bicarbonate_rate_change_m,0.0
"labvalues_calcium,_total_rate_change_m",0.0
"labvalues_calcium,_total_coeff_m",0.0
labvalues_carboxyhemoglobin_mean_m,0.0
labvalues_carboxyhemoglobin_median_m,0.0
"labvalues_bilirubin,_direct_min_m",0.0
"labvalues_bilirubin,_total_coeff_m",0.0
labvalues_c-reactive_protein_mean_m,0.0
labvalues_c-reactive_protein_median_m,0.0
"labvalues_bilirubin,_total_rate_change_m",0.0
"labvalues_bilirubin,_total_last_m",0.0
"labvalues_bilirubin,_total_first_m",0.0
"labvalues_bilirubin,_total_std_m",0.0
"labvalues_bilirubin,_total_max_m",0.0
"labvalues_bilirubin,_total_min_m",0.0
labvalues_eosinophils_std_m,0.0
labvalues_c-reactive_protein_min_m,0.0
labvalues_c-reactive_protein_max_m,0.0
labvalues_c-reactive_protein_std_m,0.0
labvalues_c-reactive_protein_first_m,0.0
labvalues_c-reactive_protein_last_m,0.0
labvalues_c-reactive_protein_rate_change_m,0.0
"labvalues_bilirubin,_direct_coeff_m",0.0
"labvalues_bilirubin,_direct_rate_change_m",0.0
labvalues_c-reactive_protein_coeff_m,0.0
"labvalues_bilirubin,_total_median_m",0.0
labvalues_chloride_median_m,0.0
labvalues_basophils_mean_m,0.0
labvalues_chloride_min_m,0.0
labvalues_base_excess_coeff_m,0.0
labvalues_base_excess_last_m,0.0
labvalues_chloride_max_m,0.0
labvalues_base_excess_first_m,0.0
labvalues_base_excess_std_m,0.0
labvalues_chloride_std_m,0.0
labvalues_bicarbonate_last_m,0.0
labvalues_chloride_first_m,0.0
labvalues_chloride_last_m,0.0
labvalues_base_excess_min_m,0.0
labvalues_base_excess_median_m,0.0
labvalues_chloride_rate_change_m,0.0
labvalues_chloride_coeff_m,0.0
labvalues_bands_coeff_m,0.0
labvalues_bands_rate_change_m,0.0
labvalues_creatine_kinase_(ck)_mean_m,0.0
labvalues_base_excess_max_m,0.0
labvalues_carboxyhemoglobin_min_m,0.0
labvalues_bicarbonate_first_m,0.0
labvalues_bicarbonate_std_m,0.0
labvalues_carboxyhemoglobin_max_m,0.0
labvalues_bicarbonate_max_m,0.0
labvalues_carboxyhemoglobin_std_m,0.0
