prob_thr,strategy,model,base_sensitivity,best_q_thr,sensitivity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.05,Baseline,-,0.9401,-,0.9401,0.0,785,2327,50,2907,-,-
0.05,Simple,LR,0.9401,0.88,0.8012,12.12,669,2045,166,3189,0.8712,0.1392
0.05,CrossFit,LR,0.9401,0.88,0.8024,11.95,670,2049,165,3185,0.8714,0.1391
0.05,Simple,MLP,0.9401,0.79,0.8024,29.61,670,1638,165,3596,0.8914,0.1559
0.05,CrossFit,MLP,0.9401,0.77,0.8204,27.55,685,1686,150,3548,0.909,0.1198
0.05,Simple,XGB,0.9401,0.85,0.8,48.09,668,1208,167,4026,0.9444,0.0848
0.05,CrossFit,XGB,0.9401,0.85,0.8048,47.53,672,1221,163,4013,0.9446,0.0848
0.06,Baseline,-,0.9234,-,0.9234,0.0,771,2105,64,3129,-,-
0.06,Simple,LR,0.9234,0.88,0.8168,10.21,682,1890,153,3344,0.8789,0.1321
0.06,CrossFit,LR,0.9234,0.88,0.8168,10.12,682,1892,153,3342,0.879,0.1322
0.06,Simple,MLP,0.9234,0.75,0.8,38.1,668,1303,167,3931,0.9233,0.1062
0.06,CrossFit,MLP,0.9234,0.77,0.8192,30.88,684,1455,151,3779,0.9269,0.104
0.06,Simple,XGB,0.9234,0.86,0.8192,38.53,684,1294,151,3940,0.9427,0.0852
0.06,CrossFit,XGB,0.9234,0.85,0.8048,41.28,672,1236,163,3998,0.9432,0.0851
0.07,Baseline,-,0.9042,-,0.9042,0.0,755,1929,80,3305,-,-
0.07,Simple,LR,0.9042,0.87,0.8108,9.49,677,1746,158,3488,0.8843,0.1248
0.07,CrossFit,LR,0.9042,0.87,0.812,9.28,678,1750,157,3484,0.8848,0.1247
0.07,Simple,MLP,0.9042,0.77,0.8108,25.76,677,1432,158,3802,0.9136,0.1115
0.07,CrossFit,MLP,0.9042,0.75,0.8168,19.49,682,1553,153,3681,0.9081,0.116
0.07,Simple,XGB,0.9042,0.85,0.806,36.34,673,1228,162,4006,0.9418,0.0853
