prob_thr,strategy,model,base_sensitivity,best_q_thr,sensitivity,FP_reduction_pct,TP,FP,FN,TN
0.002,Baseline,-,0.975,-,0.975,0.0,39,1669,1,4360
0.002,Simple,LR,0.975,1.0,0.975,0.06,39,1668,1,4361
0.002,CrossFit,LR,0.975,1.0,0.975,0.0,39,1669,1,4360
0.002,Simple,MLP,0.975,1.0,0.975,0.0,39,1669,1,4360
0.002,CrossFit,MLP,0.975,1.0,0.975,0.06,39,1668,1,4361
0.002,Simple,XGB,0.975,0.98,0.8,78.97,32,351,8,5678
0.002,CrossFit,XGB,0.975,0.98,0.8,79.27,32,346,8,5683
0.003,Baseline,-,0.975,-,0.975,0.0,39,1295,1,4734
0.003,Simple,LR,0.975,1.0,0.975,0.08,39,1294,1,4735
0.003,CrossFit,LR,0.975,1.0,0.975,0.0,39,1295,1,4734
0.003,Simple,MLP,0.975,1.0,0.975,0.15,39,1293,1,4736
0.003,CrossFit,MLP,0.975,1.0,0.975,0.15,39,1293,1,4736
0.003,Simple,XGB,0.975,0.98,0.825,72.82,33,352,7,5677
0.003,CrossFit,XGB,0.975,0.98,0.8,72.82,32,352,8,5677
0.004,Baseline,-,0.925,-,0.925,0.0,37,1069,3,4960
0.004,Simple,LR,0.925,1.0,0.925,0.09,37,1068,3,4961
0.004,CrossFit,LR,0.925,1.0,0.925,0.0,37,1069,3,4960
0.004,Simple,MLP,0.925,0.99,0.875,1.5,35,1053,5,4976
0.004,CrossFit,MLP,0.925,1.0,0.925,0.19,37,1067,3,4962
0.004,Simple,XGB,0.925,0.98,0.825,65.2,33,372,7,5657
0.004,CrossFit,XGB,0.925,0.98,0.825,65.11,33,373,7,5656
0.005,Baseline,-,0.875,-,0.875,0.0,35,917,5,5112
0.005,Simple,LR,0.875,1.0,0.875,0.11,35,916,5,5113
0.005,CrossFit,LR,0.875,1.0,0.875,0.0,35,917,5,5112
0.005,Simple,MLP,0.875,1.0,0.875,0.33,35,914,5,5115
0.005,CrossFit,MLP,0.875,1.0,0.875,0.22,35,915,5,5114
0.005,Simple,XGB,0.875,0.98,0.8,59.98,32,367,8,5662
0.005,CrossFit,XGB,0.875,0.98,0.8,60.31,32,364,8,5665
0.006,Baseline,-,0.875,-,0.875,0.0,35,822,5,5207
0.006,Simple,LR,0.875,1.0,0.875,0.12,35,821,5,5208
0.006,CrossFit,LR,0.875,1.0,0.875,0.0,35,822,5,5207
0.006,Simple,MLP,0.875,1.0,0.875,0.24,35,820,5,5209
0.006,CrossFit,MLP,0.875,1.0,0.875,0.24,35,820,5,5209
0.006,Simple,XGB,0.875,0.98,0.825,51.7,33,397,7,5632
