prob_thr,strategy,model,base_sensitivity,best_q_thr,sensitivity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.05,Baseline,-,0.9629,-,0.9629,0.0,804,2723,31,2511,-,-
0.05,Simple,LR,0.9629,0.82,0.8,8.37,668,2495,167,2739,0.8038,0.1788
0.05,CrossFit,LR,0.9629,0.83,0.8036,9.22,671,2472,164,2762,0.8054,0.1782
0.05,Simple,MLP,0.9629,0.82,0.806,50.5,673,1348,162,3886,0.9324,0.0991
0.05,CrossFit,MLP,0.9629,0.82,0.806,41.17,673,1602,162,3632,0.9221,0.1035
0.05,Simple,XGB,0.9629,0.85,0.8072,56.56,674,1183,161,4051,0.9458,0.0852
0.05,CrossFit,XGB,0.9629,0.85,0.8096,56.7,676,1179,159,4055,0.9461,0.0848
0.06,Baseline,-,0.9533,-,0.9533,0.0,796,2497,39,2737,-,-
0.06,Simple,LR,0.9533,0.82,0.8,6.33,668,2339,167,2895,0.8109,0.1756
0.06,CrossFit,LR,0.9533,0.83,0.8,7.49,668,2310,167,2924,0.8133,0.1744
0.06,Simple,MLP,0.9533,0.85,0.8216,35.72,686,1605,149,3629,0.9243,0.1016
0.06,CrossFit,MLP,0.9533,0.81,0.812,42.41,678,1438,157,3796,0.9335,0.1019
0.06,Simple,XGB,0.9533,0.85,0.8072,52.82,674,1178,161,4056,0.9454,0.0853
0.06,CrossFit,XGB,0.9533,0.85,0.8096,52.58,676,1184,159,4050,0.9458,0.085
0.07,Baseline,-,0.9365,-,0.9365,0.0,782,2310,53,2924,-,-
0.07,Simple,LR,0.9365,0.84,0.8108,5.84,677,2175,158,3059,0.8201,0.1702
0.07,CrossFit,LR,0.9365,0.83,0.8036,5.8,671,2176,164,3058,0.82,0.1705
0.07,Simple,MLP,0.9365,0.82,0.8,39.87,668,1389,167,3845,0.929,0.0999
0.07,CrossFit,MLP,0.9365,0.8,0.8287,29.05,692,1639,143,3595,0.9219,0.1057
0.07,Simple,XGB,0.9365,0.85,0.8048,49.13,672,1175,163,4059,0.9464,0.0844
0.07,CrossFit,XGB,0.9365,0.85,0.8048,48.79,672,1183,163,4051,0.9462,0.0845
0.08,Baseline,-,0.9222,-,0.9222,0.0,770,2135,65,3099,-,-
0.08,Simple,LR,0.9222,0.83,0.8036,5.34,671,2021,164,3213,0.825,0.1664
0.08,CrossFit,LR,0.9222,0.82,0.8024,4.78,670,2033,165,3201,0.8252,0.1664
0.08,Simple,MLP,0.9222,0.81,0.8216,33.72,686,1415,149,3819,0.9317,0.0978
0.08,CrossFit,MLP,0.9222,0.79,0.8216,32.32,686,1445,149,3789,0.9284,0.1012
0.08,Simple,XGB,0.9222,0.85,0.812,44.5,678,1185,157,4049,0.9455,0.085
0.08,CrossFit,XGB,0.9222,0.85,0.8072,44.73,674,1180,161,4054,0.9455,0.0847
0.09,Baseline,-,0.9114,-,0.9114,0.0,761,1983,74,3251,-,-
0.09,Simple,LR,0.9114,0.82,0.8072,4.79,674,1888,161,3346,0.8308,0.1614
0.09,CrossFit,LR,0.9114,0.82,0.8084,4.29,675,1898,160,3336,0.8308,0.1617
0.09,Simple,MLP,0.9114,0.8,0.806,27.69,673,1434,162,3800,0.9208,0.1059
0.09,CrossFit,MLP,0.9114,0.79,0.8072,27.13,674,1445,161,3789,0.9181,0.1056
0.09,Simple,XGB,0.9114,0.85,0.8048,39.99,672,1190,163,4044,0.9433,0.0852
0.09,CrossFit,XGB,0.9114,0.85,0.8048,39.94,672,1191,163,4043,0.9435,0.0849
