prob_thr,strategy,model,base_sensitivity,best_q_thr,sensitivity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.05,Baseline,-,0.9401,-,0.9401,0.0,785,2594,50,2640,-,-
0.05,Simple,LR,0.9401,0.84,0.812,31.96,678,1765,157,3469,0.9047,0.1105
0.05,CrossFit,LR,0.9401,0.84,0.8132,31.73,679,1771,156,3463,0.9047,0.1106
0.05,Simple,MLP,0.9401,0.82,0.8012,38.09,669,1606,166,3628,0.9069,0.1421
0.05,CrossFit,MLP,0.9401,0.8,0.8,42.6,668,1489,167,3745,0.9245,0.107
0.05,Simple,XGB,0.9401,0.85,0.8072,51.73,674,1252,161,3982,0.9445,0.0866
0.05,CrossFit,XGB,0.9401,0.85,0.8108,51.46,677,1259,158,3975,0.9445,0.0865
0.06,Baseline,-,0.9246,-,0.9246,0.0,772,2390,63,2844,-,-
0.06,Simple,LR,0.9246,0.82,0.8216,26.44,686,1758,149,3476,0.9045,0.1105
0.06,CrossFit,LR,0.9246,0.82,0.8263,25.69,690,1776,145,3458,0.9042,0.1107
0.06,Simple,MLP,0.9246,0.84,0.8084,33.35,675,1593,160,3641,0.9166,0.1177
0.06,CrossFit,MLP,0.9246,0.83,0.8156,32.43,681,1615,154,3619,0.9197,0.1065
0.06,Simple,XGB,0.9246,0.85,0.8048,47.41,672,1257,163,3977,0.9442,0.0869
0.06,CrossFit,XGB,0.9246,0.85,0.8108,47.32,677,1259,158,3975,0.9445,0.0867
0.07,Baseline,-,0.9174,-,0.9174,0.0,766,2216,69,3018,-,-
0.07,Simple,LR,0.9174,0.82,0.8359,14.53,698,1894,137,3340,0.8993,0.1105
0.07,CrossFit,LR,0.9174,0.81,0.8012,20.4,669,1764,166,3470,0.8993,0.1105
0.07,Simple,MLP,0.9174,0.77,0.8036,38.13,671,1371,164,3863,0.927,0.1036
0.07,CrossFit,MLP,0.9174,0.79,0.8156,31.77,681,1512,154,3722,0.9213,0.1059
0.07,Simple,XGB,0.9174,0.85,0.8156,42.92,681,1265,154,3969,0.9434,0.0863
0.07,CrossFit,XGB,0.9174,0.84,0.8012,46.3,669,1190,166,4044,0.944,0.0861
0.08,Baseline,-,0.9054,-,0.9054,0.0,756,2059,79,3175,-,-
0.08,Simple,LR,0.9054,0.84,0.8036,11.66,671,1819,164,3415,0.8948,0.1082
0.08,CrossFit,LR,0.9054,0.84,0.8024,11.56,670,1821,165,3413,0.895,0.1082
0.08,Simple,MLP,0.9054,0.81,0.8108,38.32,677,1270,158,3964,0.9309,0.0995
0.08,CrossFit,MLP,0.9054,0.79,0.806,24.48,673,1555,162,3679,0.9143,0.1089
0.08,Simple,XGB,0.9054,0.84,0.8,42.5,668,1184,167,4050,0.9417,0.0869
0.08,CrossFit,XGB,0.9054,0.85,0.812,38.22,678,1272,157,3962,0.9422,0.0865
0.09,Baseline,-,0.891,-,0.891,0.0,744,1913,91,3321,-,-
0.09,Simple,LR,0.891,0.83,0.8204,8.1,685,1758,150,3476,0.8939,0.1113
0.09,CrossFit,LR,0.891,0.83,0.8192,7.95,684,1761,151,3473,0.8938,0.1112
0.09,Simple,MLP,0.891,0.77,0.812,14.69,678,1632,157,3602,0.8912,0.1654
0.09,CrossFit,MLP,0.891,0.79,0.8072,24.67,674,1441,161,3793,0.9164,0.1058
0.09,Simple,XGB,0.891,0.84,0.8048,37.32,672,1199,163,4035,0.9398,0.0871
0.09,CrossFit,XGB,0.891,0.84,0.8012,36.49,669,1215,166,4019,0.9398,0.087
0.1,Baseline,-,0.8802,-,0.8802,0.0,735,1775,100,3459,-,-
0.1,Simple,LR,0.8802,0.82,0.8072,9.3,674,1610,161,3624,0.8971,0.11
0.1,CrossFit,LR,0.8802,0.82,0.8084,9.3,675,1610,160,3624,0.8976,0.1098
0.1,Simple,MLP,0.8802,0.77,0.8048,17.58,672,1463,163,3771,0.9083,0.1195
0.1,CrossFit,MLP,0.8802,0.78,0.8168,22.25,682,1380,153,3854,0.9246,0.101
0.1,Simple,XGB,0.8802,0.84,0.8012,32.34,669,1201,166,4033,0.9377,0.0867
0.1,CrossFit,XGB,0.8802,0.84,0.8024,31.83,670,1210,165,4024,0.9385,0.0863
0.11,Baseline,-,0.8683,-,0.8683,0.0,725,1700,110,3534,-,-
0.11,Simple,LR,0.8683,0.83,0.8084,9.0,675,1547,160,3687,0.8993,0.1094
0.11,CrossFit,LR,0.8683,0.83,0.8108,8.71,677,1552,158,3682,0.9,0.109
0.11,Simple,MLP,0.8683,0.8,0.806,19.88,673,1362,162,3872,0.9237,0.0976
0.11,CrossFit,MLP,0.8683,0.79,0.8,25.65,668,1264,167,3970,0.9253,0.1028
0.11,Simple,XGB,0.8683,0.84,0.8084,27.82,675,1227,160,4007,0.9376,0.0863
0.11,CrossFit,XGB,0.8683,0.84,0.8048,27.41,672,1234,163,4000,0.9374,0.0863
0.12,Baseline,-,0.8527,-,0.8527,0.0,712,1596,123,3638,-,-
0.12,Simple,LR,0.8527,0.84,0.8132,6.2,679,1497,156,3737,0.9022,0.1075
0.12,CrossFit,LR,0.8527,0.84,0.8084,6.02,675,1500,160,3734,0.9026,0.1073
0.12,Simple,MLP,0.8527,0.79,0.8192,12.16,684,1402,151,3832,0.9164,0.1033
0.12,CrossFit,MLP,0.8527,0.77,0.8108,15.98,677,1341,158,3893,0.9249,0.098
0.12,Simple,XGB,0.8527,0.84,0.8168,22.06,682,1244,153,3990,0.9355,0.0867
0.12,CrossFit,XGB,0.8527,0.84,0.8132,21.12,679,1259,156,3975,0.9356,0.0865
0.13,Baseline,-,0.8371,-,0.8371,0.0,699,1493,136,3741,-,-
0.13,Simple,LR,0.8371,0.85,0.8144,4.22,680,1430,155,3804,0.9044,0.1049
0.13,CrossFit,LR,0.8371,0.85,0.812,4.55,678,1425,157,3809,0.9053,0.1046
0.13,Simple,MLP,0.8371,0.78,0.8,12.32,668,1309,167,3925,0.9141,0.1023
0.13,CrossFit,MLP,0.8371,0.77,0.8132,6.56,679,1395,156,3839,0.9156,0.1021
0.13,Simple,XGB,0.8371,0.84,0.812,15.14,678,1267,157,3967,0.9327,0.0868
0.13,CrossFit,XGB,0.8371,0.84,0.806,14.47,673,1277,162,3957,0.9327,0.0868
0.14,Baseline,-,0.824,-,0.824,0.0,688,1402,147,3832,-,-
0.14,Simple,LR,0.824,0.85,0.8024,4.07,670,1345,165,3889,0.9063,0.1022
0.14,CrossFit,LR,0.824,0.85,0.8,4.28,668,1342,167,3892,0.9068,0.1021
0.14,Simple,MLP,0.824,0.77,0.8084,4.85,675,1334,160,3900,0.9014,0.1173
0.14,CrossFit,MLP,0.824,0.77,0.8096,6.35,676,1313,159,3921,0.9164,0.0983
0.14,Simple,XGB,0.824,0.84,0.812,8.49,678,1283,157,3951,0.9308,0.0866
0.14,CrossFit,XGB,0.824,0.83,0.8012,13.27,669,1216,166,4018,0.9307,0.0864
0.15,Baseline,-,0.8132,-,0.8132,0.0,679,1328,156,3906,-,-
0.15,Simple,LR,0.8132,0.86,0.806,0.98,673,1315,162,3919,0.9071,0.1004
0.15,CrossFit,LR,0.8132,0.86,0.8048,0.83,672,1317,163,3917,0.9076,0.1003
0.15,Simple,MLP,0.8132,0.79,0.806,4.37,673,1270,162,3964,0.9181,0.0992
0.15,CrossFit,MLP,0.8132,0.76,0.8,6.48,668,1242,167,3992,0.9164,0.0972
0.15,Simple,XGB,0.8132,0.84,0.806,3.99,673,1275,162,3959,0.928,0.0865
0.15,CrossFit,XGB,0.8132,0.84,0.806,3.16,673,1286,162,3948,0.9281,0.0864
0.16,Baseline,-,0.7952,-,0.7952,0.0,664,1260,171,3974,-,-
0.16,Simple,LR,0.7952,-,<0.80,-,-,-,-,-,0.9047,0.1
0.16,CrossFit,LR,0.7952,-,<0.80,-,-,-,-,-,0.9064,0.0997
0.16,Simple,MLP,0.7952,-,<0.80,-,-,-,-,-,0.9095,0.1028
0.16,CrossFit,MLP,0.7952,-,<0.80,-,-,-,-,-,0.9131,0.0984
0.16,Simple,XGB,0.7952,-,<0.80,-,-,-,-,-,0.9257,0.0866
0.16,CrossFit,XGB,0.7952,-,<0.80,-,-,-,-,-,0.9258,0.0867
0.17,Baseline,-,0.7725,-,0.7725,0.0,645,1178,190,4056,-,-
0.17,Simple,LR,0.7725,-,<0.80,-,-,-,-,-,0.9022,0.0994
0.17,CrossFit,LR,0.7725,-,<0.80,-,-,-,-,-,0.9034,0.0991
0.17,Simple,MLP,0.7725,-,<0.80,-,-,-,-,-,0.9027,0.1028
0.17,CrossFit,MLP,0.7725,-,<0.80,-,-,-,-,-,0.9094,0.0984
0.17,Simple,XGB,0.7725,-,<0.80,-,-,-,-,-,0.9233,0.0868
0.17,CrossFit,XGB,0.7725,-,<0.80,-,-,-,-,-,0.923,0.0867
0.18,Baseline,-,0.7629,-,0.7629,0.0,637,1090,198,4144,-,-
0.18,Simple,LR,0.7629,-,<0.80,-,-,-,-,-,0.9013,0.0973
0.18,CrossFit,LR,0.7629,-,<0.80,-,-,-,-,-,0.9026,0.097
0.18,Simple,MLP,0.7629,-,<0.80,-,-,-,-,-,0.878,0.1148
0.18,CrossFit,MLP,0.7629,-,<0.80,-,-,-,-,-,0.9074,0.0992
0.18,Simple,XGB,0.7629,-,<0.80,-,-,-,-,-,0.9166,0.0877
0.18,CrossFit,XGB,0.7629,-,<0.80,-,-,-,-,-,0.9174,0.0871
0.19,Baseline,-,0.7449,-,0.7449,0.0,622,1013,213,4221,-,-
0.19,Simple,LR,0.7449,-,<0.80,-,-,-,-,-,0.8989,0.0959
0.19,CrossFit,LR,0.7449,-,<0.80,-,-,-,-,-,0.9,0.0956
0.19,Simple,MLP,0.7449,-,<0.80,-,-,-,-,-,0.894,0.1023
0.19,CrossFit,MLP,0.7449,-,<0.80,-,-,-,-,-,0.901,0.0968
0.19,Simple,XGB,0.7449,-,<0.80,-,-,-,-,-,0.914,0.0866
0.19,CrossFit,XGB,0.7449,-,<0.80,-,-,-,-,-,0.9143,0.0865
0.2,Baseline,-,0.7293,-,0.7293,0.0,609,953,226,4281,-,-
0.2,Simple,LR,0.7293,-,<0.80,-,-,-,-,-,0.8961,0.0949
0.2,CrossFit,LR,0.7293,-,<0.80,-,-,-,-,-,0.8976,0.0946
0.2,Simple,MLP,0.7293,-,<0.80,-,-,-,-,-,0.8943,0.1044
0.2,CrossFit,MLP,0.7293,-,<0.80,-,-,-,-,-,0.8994,0.0962
0.2,Simple,XGB,0.7293,-,<0.80,-,-,-,-,-,0.91,0.0871
0.2,CrossFit,XGB,0.7293,-,<0.80,-,-,-,-,-,0.9103,0.087
