prob_thr,strategy,model,base_sensitivity,best_q_thr,sensitivity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.001,Baseline,-,1.0,-,1.0,0.0,40,2404,0,3625,-,-
0.001,Simple,LR,1.0,1.0,1.0,0.0,40,2404,0,3625,0.9658,0.0663
0.001,CrossFit,LR,1.0,1.0,1.0,0.0,40,2404,0,3625,0.9659,0.0664
0.001,Simple,MLP,1.0,-,<0.80,-,-,-,-,-,0.9817,0.1001
0.001,CrossFit,MLP,1.0,-,<0.80,-,-,-,-,-,0.9803,0.0485
0.001,Simple,XGB,1.0,0.98,0.825,84.82,33,365,7,5664,0.9989,0.0061
0.001,CrossFit,XGB,1.0,0.98,0.825,85.11,33,358,7,5671,0.9989,0.0061
0.002,Baseline,-,0.975,-,0.975,0.0,39,1743,1,4286,-,-
0.002,Simple,LR,0.975,1.0,0.975,0.0,39,1743,1,4286,0.9746,0.0511
0.002,CrossFit,LR,0.975,1.0,0.975,0.0,39,1743,1,4286,0.9757,0.0507
0.002,Simple,MLP,0.975,-,<0.80,-,-,-,-,-,0.9853,0.1172
0.002,CrossFit,MLP,0.975,1.0,0.825,2.75,33,1695,7,4334,0.988,0.0303
0.002,Simple,XGB,0.975,0.98,0.85,79.29,34,361,6,5668,0.999,0.0057
0.002,CrossFit,XGB,0.975,0.98,0.85,79.29,34,361,6,5668,0.999,0.0055
0.003,Baseline,-,0.975,-,0.975,0.0,39,1483,1,4546,-,-
0.003,Simple,LR,0.975,1.0,0.975,0.0,39,1483,1,4546,0.9807,0.044
0.003,CrossFit,LR,0.975,1.0,0.975,0.0,39,1483,1,4546,0.9817,0.0432
0.003,Simple,MLP,0.975,-,<0.80,-,-,-,-,-,0.9882,0.0286
0.003,CrossFit,MLP,0.975,1.0,0.925,1.21,37,1465,3,4564,0.9893,0.0384
0.003,Simple,XGB,0.975,0.97,0.85,83.14,34,250,6,5779,0.999,0.0062
0.003,CrossFit,XGB,0.975,0.97,0.8,83.28,32,248,8,5781,0.9989,0.0062
0.004,Baseline,-,0.925,-,0.925,0.0,37,1264,3,4765,-,-
0.004,Simple,LR,0.925,1.0,0.925,0.0,37,1264,3,4765,0.983,0.0385
0.004,CrossFit,LR,0.925,1.0,0.925,0.0,37,1264,3,4765,0.9835,0.0381
0.004,Simple,MLP,0.925,-,<0.80,-,-,-,-,-,0.9896,0.0286
0.004,CrossFit,MLP,0.925,-,<0.80,-,-,-,-,-,0.9895,0.0471
0.004,Simple,XGB,0.925,0.97,0.8,80.85,32,242,8,5787,0.999,0.0061
0.004,CrossFit,XGB,0.925,0.98,0.85,69.54,34,385,6,5644,0.999,0.006
0.005,Baseline,-,0.9,-,0.9,0.0,36,1149,4,4880,-,-
0.005,Simple,LR,0.9,1.0,0.9,0.0,36,1149,4,4880,0.9859,0.0342
0.005,CrossFit,LR,0.9,1.0,0.9,0.0,36,1149,4,4880,0.9864,0.0337
0.005,Simple,MLP,0.9,1.0,0.85,0.17,34,1147,6,4882,0.9902,0.0297
0.005,CrossFit,MLP,0.9,1.0,0.85,0.78,34,1140,6,4889,0.9906,0.0318
0.005,Simple,XGB,0.9,0.97,0.8,77.89,32,254,8,5775,0.999,0.0055
0.005,CrossFit,XGB,0.9,0.97,0.8,77.89,32,254,8,5775,0.999,0.0055
0.006,Baseline,-,0.9,-,0.9,0.0,36,1051,4,4978,-,-
0.006,Simple,LR,0.9,1.0,0.9,0.0,36,1051,4,4978,0.9857,0.0333
0.006,CrossFit,LR,0.9,1.0,0.9,0.0,36,1051,4,4978,0.9862,0.0329
0.006,Simple,MLP,0.9,1.0,0.825,1.43,33,1036,7,4993,0.9897,0.0243
0.006,CrossFit,MLP,0.9,1.0,0.875,0.29,35,1048,5,4981,0.9906,0.0223
0.006,Simple,XGB,0.9,0.97,0.825,77.16,33,240,7,5789,0.9989,0.0066
0.006,CrossFit,XGB,0.9,0.98,0.85,62.7,34,392,6,5637,0.9989,0.0066
0.007,Baseline,-,0.9,-,0.9,0.0,36,963,4,5066,-,-
0.007,Simple,LR,0.9,1.0,0.9,0.0,36,963,4,5066,0.9868,0.0302
0.007,CrossFit,LR,0.9,1.0,0.9,0.0,36,963,4,5066,0.9874,0.03
0.007,Simple,MLP,0.9,1.0,0.825,0.62,33,957,7,5072,0.9902,0.0241
0.007,CrossFit,MLP,0.9,1.0,0.9,0.21,36,961,4,5068,0.9904,0.0255
0.007,Simple,XGB,0.9,0.97,0.8,72.48,32,265,8,5764,0.9987,0.0065
0.007,CrossFit,XGB,0.9,0.98,0.85,59.5,34,390,6,5639,0.9987,0.0064
0.008,Baseline,-,0.9,-,0.9,0.0,36,899,4,5130,-,-
0.008,Simple,LR,0.9,1.0,0.9,0.0,36,899,4,5130,0.987,0.0289
0.008,CrossFit,LR,0.9,1.0,0.9,0.0,36,899,4,5130,0.9875,0.0287
0.008,Simple,MLP,0.9,1.0,0.875,0.22,35,897,5,5132,0.9892,0.0346
0.008,CrossFit,MLP,0.9,1.0,0.9,0.22,36,897,4,5132,0.9903,0.0278
0.008,Simple,XGB,0.9,0.97,0.8,70.41,32,266,8,5763,0.9987,0.0066
0.008,CrossFit,XGB,0.9,0.97,0.8,70.41,32,266,8,5763,0.9986,0.0066
0.009,Baseline,-,0.875,-,0.875,0.0,35,841,5,5188,-,-
0.009,Simple,LR,0.875,1.0,0.875,0.0,35,841,5,5188,0.9871,0.0283
0.009,CrossFit,LR,0.875,1.0,0.875,0.0,35,841,5,5188,0.9877,0.0281
0.009,Simple,MLP,0.875,1.0,0.85,0.24,34,839,6,5190,0.9896,0.0237
0.009,CrossFit,MLP,0.875,1.0,0.875,0.12,35,840,5,5189,0.9907,0.0206
0.009,Simple,XGB,0.875,0.98,0.825,52.2,33,402,7,5627,0.9987,0.0054
0.009,CrossFit,XGB,0.875,0.98,0.875,53.39,35,392,5,5637,0.9987,0.0054
0.01,Baseline,-,0.875,-,0.875,0.0,35,782,5,5247,-,-
0.01,Simple,LR,0.875,1.0,0.875,0.0,35,782,5,5247,0.9883,0.0256
0.01,CrossFit,LR,0.875,1.0,0.875,0.0,35,782,5,5247,0.9894,0.0253
0.01,Simple,MLP,0.875,1.0,0.875,0.13,35,781,5,5248,0.9904,0.0226
0.01,CrossFit,MLP,0.875,1.0,0.875,0.0,35,782,5,5247,0.9906,0.0195
0.01,Simple,XGB,0.875,0.97,0.8,64.32,32,279,8,5750,0.9984,0.0065
0.01,CrossFit,XGB,0.875,0.98,0.875,46.8,35,416,5,5613,0.9984,0.0065
0.011,Baseline,-,0.875,-,0.875,0.0,35,738,5,5291,-,-
0.011,Simple,LR,0.875,1.0,0.875,0.0,35,738,5,5291,0.9896,0.024
0.011,CrossFit,LR,0.875,1.0,0.875,0.0,35,738,5,5291,0.9904,0.0237
0.011,Simple,MLP,0.875,1.0,0.875,0.14,35,737,5,5292,0.9906,0.0181
0.011,CrossFit,MLP,0.875,1.0,0.875,0.0,35,738,5,5291,0.9907,0.0214
0.011,Simple,XGB,0.875,0.98,0.85,42.14,34,427,6,5602,0.9982,0.0065
0.011,CrossFit,XGB,0.875,0.98,0.85,42.41,34,425,6,5604,0.9983,0.0063
0.012,Baseline,-,0.875,-,0.875,0.0,35,707,5,5322,-,-
0.012,Simple,LR,0.875,1.0,0.875,0.0,35,707,5,5322,0.9897,0.0235
0.012,CrossFit,LR,0.875,1.0,0.875,0.0,35,707,5,5322,0.9906,0.0232
0.012,Simple,MLP,0.875,1.0,0.875,0.14,35,706,5,5323,0.989,0.0323
0.012,CrossFit,MLP,0.875,1.0,0.875,0.0,35,707,5,5322,0.9901,0.0191
0.012,Simple,XGB,0.875,0.98,0.825,39.6,33,427,7,5602,0.9982,0.0058
0.012,CrossFit,XGB,0.875,0.98,0.875,38.19,35,437,5,5592,0.9982,0.0057
0.013,Baseline,-,0.875,-,0.875,0.0,35,665,5,5364,-,-
0.013,Simple,LR,0.875,1.0,0.875,0.0,35,665,5,5364,0.9889,0.0238
0.013,CrossFit,LR,0.875,1.0,0.875,0.0,35,665,5,5364,0.9897,0.0236
0.013,Simple,MLP,0.875,1.0,0.875,0.3,35,663,5,5366,0.9903,0.02
0.013,CrossFit,MLP,0.875,1.0,0.875,0.0,35,665,5,5364,0.9905,0.0217
0.013,Simple,XGB,0.875,0.98,0.85,36.84,34,420,6,5609,0.998,0.0059
0.013,CrossFit,XGB,0.875,0.97,0.8,59.7,32,268,8,5761,0.9981,0.0057
0.014,Baseline,-,0.875,-,0.875,0.0,35,633,5,5396,-,-
0.014,Simple,LR,0.875,1.0,0.875,0.0,35,633,5,5396,0.9883,0.0236
0.014,CrossFit,LR,0.875,1.0,0.875,0.0,35,633,5,5396,0.989,0.0235
0.014,Simple,MLP,0.875,1.0,0.85,0.47,34,630,6,5399,0.9894,0.0238
0.014,CrossFit,MLP,0.875,1.0,0.875,0.0,35,633,5,5396,0.9893,0.0227
0.014,Simple,XGB,0.875,0.98,0.875,30.17,35,442,5,5587,0.998,0.0065
0.014,CrossFit,XGB,0.875,0.97,0.8,54.82,32,286,8,5743,0.998,0.0063
0.015,Baseline,-,0.875,-,0.875,0.0,35,601,5,5428,-,-
