prob_thr,strategy,model,base_sensitivity,best_q_thr,sensitivity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.05,Baseline,-,0.9353,-,0.9353,0.0,781,2304,54,2930,-,-
0.05,Simple,LR,0.9353,0.85,0.8156,7.55,681,2130,154,3104,0.8117,0.1751
0.05,CrossFit,LR,0.9353,0.82,0.8024,8.29,670,2113,165,3121,0.8134,0.1735
0.05,Simple,MLP,0.9353,0.9,0.8072,14.15,674,1978,161,3256,0.897,0.1226
0.05,CrossFit,MLP,0.9353,0.8,0.8012,17.75,669,1895,166,3339,0.8886,0.1293
0.05,Simple,XGB,0.9353,0.92,0.8096,37.28,676,1445,159,3789,0.9339,0.0945
0.05,CrossFit,XGB,0.9353,0.92,0.8024,37.85,670,1432,165,3802,0.9339,0.095
0.06,Baseline,-,0.9138,-,0.9138,0.0,763,2120,72,3114,-,-
0.06,Simple,LR,0.9138,0.83,0.8024,6.93,670,1973,165,3261,0.8129,0.1726
0.06,CrossFit,LR,0.9138,0.82,0.8072,6.51,674,1982,161,3252,0.8177,0.1699
0.06,Simple,MLP,0.9138,0.87,0.8204,8.63,685,1937,150,3297,0.8923,0.1509
0.06,CrossFit,MLP,0.9138,0.84,0.8036,12.59,671,1853,164,3381,0.8938,0.1234
0.06,Simple,XGB,0.9138,0.92,0.8096,29.81,676,1488,159,3746,0.933,0.0954
0.06,CrossFit,XGB,0.9138,0.92,0.8156,29.1,681,1503,154,3731,0.933,0.0953
0.07,Baseline,-,0.8982,-,0.8982,0.0,750,1925,85,3309,-,-
0.07,Simple,LR,0.8982,0.82,0.8132,4.0,679,1848,156,3386,0.8161,0.1672
0.07,CrossFit,LR,0.8982,0.81,0.8024,5.3,670,1823,165,3411,0.8167,0.167
0.07,Simple,MLP,0.8982,0.82,0.8156,9.71,681,1738,154,3496,0.8595,0.143
0.07,CrossFit,MLP,0.8982,0.81,0.824,5.92,688,1811,147,3423,0.8926,0.1227
0.07,Simple,XGB,0.8982,0.91,0.8,26.75,668,1410,167,3824,0.9302,0.0956
0.07,CrossFit,XGB,0.8982,0.91,0.8036,25.14,671,1441,164,3793,0.9305,0.0948
0.08,Baseline,-,0.8826,-,0.8826,0.0,737,1765,98,3469,-,-
0.08,Simple,LR,0.8826,0.82,0.8096,3.23,676,1708,159,3526,0.817,0.1631
0.08,CrossFit,LR,0.8826,0.82,0.8072,3.4,674,1705,161,3529,0.8166,0.163
0.08,Simple,MLP,0.8826,0.88,0.824,3.85,688,1697,147,3537,0.8962,0.1308
0.08,CrossFit,MLP,0.8826,0.82,0.8,6.74,668,1646,167,3588,0.8917,0.124
0.08,Simple,XGB,0.8826,0.92,0.8144,17.0,680,1465,155,3769,0.9268,0.0951
0.08,CrossFit,XGB,0.8826,0.92,0.8192,16.03,684,1482,151,3752,0.9269,0.095
0.09,Baseline,-,0.8683,-,0.8683,0.0,725,1614,110,3620,-,-
0.09,Simple,LR,0.8683,0.82,0.8048,2.42,672,1575,163,3659,0.8166,0.1583
0.09,CrossFit,LR,0.8683,0.82,0.8048,2.79,672,1569,163,3665,0.8177,0.1579
0.09,Simple,MLP,0.8683,0.85,0.8132,3.97,679,1550,156,3684,0.8968,0.1155
0.09,CrossFit,MLP,0.8683,0.82,0.8024,6.38,670,1511,165,3723,0.8914,0.1158
0.09,Simple,XGB,0.8683,0.91,0.8012,16.67,669,1345,166,3889,0.924,0.0946
0.09,CrossFit,XGB,0.8683,0.91,0.8012,16.6,669,1346,166,3888,0.9242,0.0946
0.1,Baseline,-,0.8491,-,0.8491,0.0,709,1489,126,3745,-,-
0.1,Simple,LR,0.8491,0.82,0.8048,1.81,672,1462,163,3772,0.8158,0.1544
0.1,CrossFit,LR,0.8491,0.82,0.806,1.75,673,1463,162,3771,0.8173,0.1537
0.1,Simple,MLP,0.8491,0.87,0.8144,2.28,680,1455,155,3779,0.8956,0.1144
0.1,CrossFit,MLP,0.8491,0.81,0.8108,1.95,677,1460,158,3774,0.8891,0.1148
0.1,Simple,XGB,0.8491,0.92,0.8096,9.0,676,1355,159,3879,0.9202,0.095
0.1,CrossFit,XGB,0.8491,0.92,0.8096,8.06,676,1369,159,3865,0.9206,0.0947
0.11,Baseline,-,0.8335,-,0.8335,0.0,696,1371,139,3863,-,-
0.11,Simple,LR,0.8335,0.82,0.8,1.24,668,1354,167,3880,0.8172,0.1485
