prob_thr,strategy,model,base_sensitivity,best_q_thr,sensitivity,FP_reduction_pct,TP,FP,FN,TN
0.0002,Baseline,-,0.975,-,0.975,0.0,39,1958,1,4071
0.0002,Simple,LR,0.975,1.0,0.975,0.0,39,1958,1,4071
0.0002,CrossFit,LR,0.975,1.0,0.975,0.0,39,1958,1,4071
0.0002,Simple,MLP,0.975,0.98,0.85,5.21,34,1856,6,4173
0.0002,CrossFit,MLP,0.975,0.96,0.825,7.41,33,1813,7,4216
0.0002,Simple,XGB,0.975,1.0,0.975,0.0,39,1958,1,4071
0.0002,CrossFit,XGB,0.975,1.0,0.975,0.0,39,1958,1,4071
0.0004,Baseline,-,0.95,-,0.95,0.0,38,1395,2,4634
0.0004,Simple,LR,0.95,0.99,0.875,1.36,35,1376,5,4653
0.0004,CrossFit,LR,0.95,0.99,0.875,1.15,35,1379,5,4650
0.0004,Simple,MLP,0.95,0.96,0.825,3.66,33,1344,7,4685
0.0004,CrossFit,MLP,0.95,0.89,0.8,13.76,32,1203,8,4826
0.0004,Simple,XGB,0.95,1.0,0.95,0.0,38,1395,2,4634
0.0004,CrossFit,XGB,0.95,1.0,0.95,0.0,38,1395,2,4634
0.0006,Baseline,-,0.85,-,0.85,0.0,34,1085,6,4944
0.0006,Simple,LR,0.85,0.99,0.8,0.74,32,1077,8,4952
0.0006,CrossFit,LR,0.85,0.99,0.8,0.74,32,1077,8,4952
0.0006,Simple,MLP,0.85,0.97,0.8,3.59,32,1046,8,4983
0.0006,CrossFit,MLP,0.85,0.96,0.8,1.11,32,1073,8,4956
0.0006,Simple,XGB,0.85,1.0,0.85,0.0,34,1085,6,4944
0.0006,CrossFit,XGB,0.85,1.0,0.85,0.0,34,1085,6,4944
0.0008,Baseline,-,0.85,-,0.85,0.0,34,898,6,5131
0.0008,Simple,LR,0.85,0.99,0.8,0.45,32,894,8,5135
0.0008,CrossFit,LR,0.85,0.99,0.825,0.56,33,893,7,5136
0.0008,Simple,MLP,0.85,0.91,0.8,4.57,32,857,8,5172
0.0008,CrossFit,MLP,0.85,0.91,0.8,6.24,32,842,8,5187
0.0008,Simple,XGB,0.85,1.0,0.85,0.0,34,898,6,5131
0.0008,CrossFit,XGB,0.85,1.0,0.85,0.0,34,898,6,5131
0.001,Baseline,-,0.75,-,0.75,0.0,30,791,10,5238
0.001,Simple,LR,0.75,-,<0.80,-,-,-,-,-
0.001,CrossFit,LR,0.75,-,<0.80,-,-,-,-,-
0.001,Simple,MLP,0.75,-,<0.80,-,-,-,-,-
0.001,CrossFit,MLP,0.75,-,<0.80,-,-,-,-,-
0.001,Simple,XGB,0.75,-,<0.80,-,-,-,-,-
0.001,CrossFit,XGB,0.75,-,<0.80,-,-,-,-,-
0.0012,Baseline,-,0.725,-,0.725,0.0,29,713,11,5316
0.0012,Simple,LR,0.725,-,<0.80,-,-,-,-,-
0.0012,CrossFit,LR,0.725,-,<0.80,-,-,-,-,-
0.0012,Simple,MLP,0.725,-,<0.80,-,-,-,-,-
0.0012,CrossFit,MLP,0.725,-,<0.80,-,-,-,-,-
0.0012,Simple,XGB,0.725,-,<0.80,-,-,-,-,-
0.0012,CrossFit,XGB,0.725,-,<0.80,-,-,-,-,-
0.0014,Baseline,-,0.7,-,0.7,0.0,28,650,12,5379
0.0014,Simple,LR,0.7,-,<0.80,-,-,-,-,-
0.0014,CrossFit,LR,0.7,-,<0.80,-,-,-,-,-
0.0014,Simple,MLP,0.7,-,<0.80,-,-,-,-,-
0.0014,CrossFit,MLP,0.7,-,<0.80,-,-,-,-,-
0.0014,Simple,XGB,0.7,-,<0.80,-,-,-,-,-
0.0014,CrossFit,XGB,0.7,-,<0.80,-,-,-,-,-
0.0016,Baseline,-,0.7,-,0.7,0.0,28,602,12,5427
0.0016,Simple,LR,0.7,-,<0.80,-,-,-,-,-
0.0016,CrossFit,LR,0.7,-,<0.80,-,-,-,-,-
0.0016,Simple,MLP,0.7,-,<0.80,-,-,-,-,-
0.0016,CrossFit,MLP,0.7,-,<0.80,-,-,-,-,-
0.0016,Simple,XGB,0.7,-,<0.80,-,-,-,-,-
0.0016,CrossFit,XGB,0.7,-,<0.80,-,-,-,-,-
0.0018,Baseline,-,0.625,-,0.625,0.0,25,552,15,5477
0.0018,Simple,LR,0.625,-,<0.80,-,-,-,-,-
0.0018,CrossFit,LR,0.625,-,<0.80,-,-,-,-,-
0.0018,Simple,MLP,0.625,-,<0.80,-,-,-,-,-
0.0018,CrossFit,MLP,0.625,-,<0.80,-,-,-,-,-
0.0018,Simple,XGB,0.625,-,<0.80,-,-,-,-,-
0.0018,CrossFit,XGB,0.625,-,<0.80,-,-,-,-,-
0.002,Baseline,-,0.6,-,0.6,0.0,24,519,16,5510
0.002,Simple,LR,0.6,-,<0.80,-,-,-,-,-
0.002,CrossFit,LR,0.6,-,<0.80,-,-,-,-,-
0.002,Simple,MLP,0.6,-,<0.80,-,-,-,-,-
0.002,CrossFit,MLP,0.6,-,<0.80,-,-,-,-,-
0.002,Simple,XGB,0.6,-,<0.80,-,-,-,-,-
0.002,CrossFit,XGB,0.6,-,<0.80,-,-,-,-,-
0.0022,Baseline,-,0.6,-,0.6,0.0,24,483,16,5546
0.0022,Simple,LR,0.6,-,<0.80,-,-,-,-,-
0.0022,CrossFit,LR,0.6,-,<0.80,-,-,-,-,-
0.0022,Simple,MLP,0.6,-,<0.80,-,-,-,-,-
0.0022,CrossFit,MLP,0.6,-,<0.80,-,-,-,-,-
0.0022,Simple,XGB,0.6,-,<0.80,-,-,-,-,-
0.0022,CrossFit,XGB,0.6,-,<0.80,-,-,-,-,-
0.0024,Baseline,-,0.6,-,0.6,0.0,24,461,16,5568
0.0024,Simple,LR,0.6,-,<0.80,-,-,-,-,-
0.0024,CrossFit,LR,0.6,-,<0.80,-,-,-,-,-
0.0024,Simple,MLP,0.6,-,<0.80,-,-,-,-,-
0.0024,CrossFit,MLP,0.6,-,<0.80,-,-,-,-,-
0.0024,Simple,XGB,0.6,-,<0.80,-,-,-,-,-
0.0024,CrossFit,XGB,0.6,-,<0.80,-,-,-,-,-
0.0026,Baseline,-,0.6,-,0.6,0.0,24,440,16,5589
0.0026,Simple,LR,0.6,-,<0.80,-,-,-,-,-
0.0026,CrossFit,LR,0.6,-,<0.80,-,-,-,-,-
0.0026,Simple,MLP,0.6,-,<0.80,-,-,-,-,-
0.0026,CrossFit,MLP,0.6,-,<0.80,-,-,-,-,-
0.0026,Simple,XGB,0.6,-,<0.80,-,-,-,-,-
