prob_thr,strategy,model,base_sensitivity,best_q_thr,sensitivity,FP_reduction_pct,TP,FP,FN,TN
0.05,Baseline,—,0.8932,—,0.8932,0.0,652,1468,78,3853
0.05,Simple,LR,0.8932,0.72,0.8014,3.0,585,1424,145,3897
0.05,CrossFit,LR,0.8932,0.74,0.811,3.2,592,1421,138,3900
0.05,Simple,MLP,0.8932,0.77,0.8,16.01,584,1233,146,4088
0.05,CrossFit,MLP,0.8932,0.75,0.8068,16.42,589,1227,141,4094
0.05,Simple,XGB,0.8932,0.94,0.811,28.07,592,1056,138,4265
0.05,CrossFit,XGB,0.8932,0.94,0.8137,27.18,594,1069,136,4252
0.06,Baseline,—,0.8685,—,0.8685,0.0,634,1252,96,4069
0.06,Simple,LR,0.8685,0.71,0.8,2.96,584,1215,146,4106
0.06,CrossFit,LR,0.8685,0.72,0.8055,2.16,588,1225,142,4096
0.06,Simple,MLP,0.8685,0.79,0.8082,7.35,590,1160,140,4161
0.06,CrossFit,MLP,0.8685,0.73,0.8055,8.23,588,1149,142,4172
0.06,Simple,XGB,0.8685,0.94,0.8096,21.01,591,989,139,4332
0.06,CrossFit,XGB,0.8685,0.94,0.8055,20.77,588,992,142,4329
0.07,Baseline,—,0.8493,—,0.8493,0.0,620,1086,110,4235
0.07,Simple,LR,0.8493,0.7,0.8014,1.57,585,1069,145,4252
0.07,CrossFit,LR,0.8493,0.7,0.8068,1.75,589,1067,141,4254
0.07,Simple,MLP,0.8493,0.79,0.8027,5.89,586,1022,144,4299
0.07,CrossFit,MLP,0.8493,0.77,0.8068,4.7,589,1035,141,4286
0.07,Simple,XGB,0.8493,0.94,0.8082,12.52,590,950,140,4371
0.07,CrossFit,XGB,0.8493,0.94,0.8096,11.97,591,956,139,4365
0.08,Baseline,—,0.8247,—,0.8247,0.0,602,946,128,4375
0.08,Simple,LR,0.8247,0.74,0.8014,0.95,585,937,145,4384
0.08,CrossFit,LR,0.8247,0.74,0.8014,1.06,585,936,145,4385
0.08,Simple,MLP,0.8247,0.77,0.8247,0.0,602,946,128,4375
0.08,CrossFit,MLP,0.8247,0.75,0.8082,4.33,590,905,140,4416
0.08,Simple,XGB,0.8247,0.94,0.8068,7.51,589,875,141,4446
