prob_thr,strategy,model,base_sensitivity,best_q_thr,sensitivity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.05,Baseline,-,0.8959,-,0.8959,0.0,654,1341,76,3980,-,-
0.05,Simple,LR,0.8959,0.76,0.8,6.94,584,1248,146,4073,0.8016,0.1482
0.05,CrossFit,LR,0.8959,0.74,0.8027,6.04,586,1260,144,4061,0.8033,0.1483
0.05,Simple,MLP,0.8959,0.79,0.8041,18.34,587,1095,143,4226,0.9233,0.0887
0.05,CrossFit,MLP,0.8959,0.82,0.8096,15.66,591,1131,139,4190,0.926,0.089
0.05,Simple,XGB,0.8959,0.93,0.8014,40.87,585,793,145,4528,0.9453,0.0664
0.05,CrossFit,XGB,0.8959,0.93,0.8055,39.9,588,806,142,4515,0.9462,0.0663
0.06,Baseline,-,0.8781,-,0.8781,0.0,641,1143,89,4178,-,-
0.06,Simple,LR,0.8781,0.75,0.8,6.47,584,1069,146,4252,0.7993,0.138
0.06,CrossFit,LR,0.8781,0.72,0.8041,4.37,587,1093,143,4228,0.805,0.1366
0.06,Simple,MLP,0.8781,0.83,0.811,11.2,592,1015,138,4306,0.9197,0.0905
0.06,CrossFit,MLP,0.8781,0.77,0.8,13.21,584,992,146,4329,0.8976,0.0953
0.06,Simple,XGB,0.8781,0.93,0.8123,23.45,593,875,137,4446,0.9382,0.0663
0.06,CrossFit,XGB,0.8781,0.93,0.811,23.1,592,879,138,4442,0.9391,0.0661
0.07,Baseline,-,0.863,-,0.863,0.0,630,1021,100,4300,-,-
0.07,Simple,LR,0.863,0.72,0.8014,3.92,585,981,145,4340,0.8023,0.1293
0.07,CrossFit,LR,0.863,0.72,0.8027,4.02,586,980,144,4341,0.8031,0.1291
0.07,Simple,MLP,0.863,0.81,0.8068,12.14,589,897,141,4424,0.9136,0.0838
0.07,CrossFit,MLP,0.863,0.78,0.8123,8.72,593,932,137,4389,0.9167,0.0907
0.07,Simple,XGB,0.863,0.92,0.8,23.41,584,782,146,4539,0.9317,0.0661
0.07,CrossFit,XGB,0.863,0.93,0.8219,14.1,600,877,130,4444,0.9329,0.0659
0.08,Baseline,-,0.8397,-,0.8397,0.0,613,909,117,4412,-,-
0.08,Simple,LR,0.8397,0.73,0.8055,2.2,588,889,142,4432,0.8098,0.1205
0.08,CrossFit,LR,0.8397,0.72,0.8014,2.64,585,885,145,4436,0.8104,0.1204
0.08,Simple,MLP,0.8397,0.79,0.8123,7.15,593,844,137,4477,0.8929,0.0935
0.08,CrossFit,MLP,0.8397,0.76,0.8027,5.83,586,856,144,4465,0.8998,0.0844
0.08,Simple,XGB,0.8397,0.93,0.8137,7.81,594,838,136,4483,0.9258,0.0654
0.08,CrossFit,XGB,0.8397,0.93,0.8178,6.71,597,848,133,4473,0.9268,0.0653
0.09,Baseline,-,0.8247,-,0.8247,0.0,602,826,128,4495,-,-
0.09,Simple,LR,0.8247,0.76,0.8041,1.09,587,817,143,4504,0.8119,0.1141
0.09,CrossFit,LR,0.8247,0.76,0.8014,0.97,585,818,145,4503,0.8137,0.1141
0.09,Simple,MLP,0.8247,0.78,0.8247,0.0,602,826,128,4495,0.901,0.0825
0.09,CrossFit,MLP,0.8247,0.78,0.8027,3.15,586,800,144,4521,0.9154,0.083
0.09,Simple,XGB,0.8247,0.93,0.811,3.27,592,799,138,4522,0.9193,0.0661
0.09,CrossFit,XGB,0.8247,0.92,0.8014,5.45,585,781,145,4540,0.9207,0.0658
0.1,Baseline,-,0.8082,-,0.8082,0.0,590,754,140,4567,-,-
0.1,Simple,LR,0.8082,0.84,0.8027,0.13,586,753,144,4568,0.8112,0.1097
0.1,CrossFit,LR,0.8082,0.8,0.8014,0.27,585,752,145,4569,0.8143,0.1093
0.1,Simple,MLP,0.8082,0.79,0.8027,0.93,586,747,144,4574,0.8075,0.1338
0.1,CrossFit,MLP,0.8082,0.77,0.8055,0.4,588,751,142,4570,0.9081,0.0755
0.1,Simple,XGB,0.8082,0.93,0.8,2.12,584,738,146,4583,0.9124,0.066
0.1,CrossFit,XGB,0.8082,0.93,0.8014,1.46,585,743,145,4578,0.9136,0.0656
0.11,Baseline,-,0.8,-,0.8,0.0,584,690,146,4631,-,-
0.11,Simple,LR,0.8,0.96,0.8,0.0,584,690,146,4631,0.808,0.105
0.11,CrossFit,LR,0.8,0.83,0.8,0.14,584,689,146,4632,0.8132,0.1043
0.11,Simple,MLP,0.8,0.77,0.8,0.0,584,690,146,4631,0.9043,0.0779
0.11,CrossFit,MLP,0.8,0.8,0.8,0.0,584,690,146,4631,0.8941,0.075
0.11,Simple,XGB,0.8,0.97,0.8,0.0,584,690,146,4631,0.9056,0.066
0.11,CrossFit,XGB,0.8,0.97,0.8,0.0,584,690,146,4631,0.9067,0.0658
0.12,Baseline,-,0.7863,-,0.7863,0.0,574,630,156,4691,-,-
0.12,Simple,LR,0.7863,-,<0.80,-,-,-,-,-,0.8157,0.0991
0.12,CrossFit,LR,0.7863,-,<0.80,-,-,-,-,-,0.8153,0.0992
